i,i,i,i,i
134,TESTA01,T301-X02,E1534,384.9370291
135,TESTA01,E1534,N106,423.5142651
136,TESTA01,E1534,N107,138.750498
137,TESTA01,T301-X03,E1548,371.7554148
138,TESTA01,E1548,N106,511.8573583
139,TESTA01,E1548,N107,50.40740484
140,TESTA01,B01-X02,E50,187.2793084
141,TESTA01,T204-X06,E893,134.3661092
142,TESTA01,E893,N128,571.7684212
143,TESTA01,E893,N129,413.3717106
144,TESTA01,C01-X04,E1499,91.99686199
145,TESTA01,C02-X01,E523,153.0488194
146,TESTA01,C02-X02,E523,138.5291958
147,TESTA01,C02-X03,E523,124.3733695
148,TESTA01,T203-X09,E957,130.2698305
149,TESTA01,E957,N104,641.908659
150,TESTA01,E957,N121,358.5412398
151,TESTA01,T251-X01,E974,142.0372282
152,TESTA01,E974,N305,113.0079705
153,TESTA01,E974,N306,4.722256956
154,TESTA01,C03-X01,E1562,95.02598661
155,TESTA01,E1562,N257,754.8705196
156,TESTA01,E1562,N258,71.49672777
157,TESTA01,C03-X02,E1562,100.3762659
158,TESTA01,C03-X03,E1562,107.8556971
159,TESTA01,C03-X04,E1555,95.912648
160,TESTA01,E1555,N257,654.3085595
161,TESTA01,E1555,N258,172.0586879
162,TESTA01,C04-X01,E1576,100.461845
163,TESTA01,E1576,N287,58.03196106
164,TESTA01,E1576,N288,257.827169
165,TESTA01,C04-X02,E1576,115.6132823
166,TESTA01,C04-X03,E1110,93.45745787
167,TESTA01,E1110,N287,142.3072783
168,TESTA01,E1110,N290,60.75639259
169,TESTA01,C04-X04,E1110,92.07775133
170,TESTA01,C04-X05,E1110,93.45762756
171,TESTA01,C05-X01,E1144,78.66292491
172,TESTA01,E1144,N246,59.40257978
173,TESTA01,E1144,N291,157.5789746
174,TESTA01,C05-X02,E1144,89.83014948
175,TESTA01,C05-X03,E1144,102.2890794
176,TESTA01,C06-X01,E1590,175.4604739
177,TESTA01,E1590,N389,666.1202432
178,TESTA01,E1590,N399,615.293946
179,TESTA01,C06-X02,E1590,173.39715
180,TESTA01,C06-X03,E1583,95.70420464
181,TESTA01,E1583,N336,121.4985362
182,TESTA01,E1583,N337,169.5261235
183,TESTA01,C06-X04,E1583,91.83849865
184,TESTA01,D01-X01,E1249,141.2241235
185,TESTA01,E1249,N275,139.3423882
186,TESTA01,E1249,N278,174.7506862
187,TESTA01,D01-X02,E1249,122.715671
188,TESTA01,D01-X03,E1249,106.5143125
189,TESTA01,F03-X01,E1286,122.456419
190,TESTA01,E1286,N367,282.3235185
191,TESTA01,E1286,N329,262.6308897
192,TESTA01,F03-X02,E1303,121.771123
193,TESTA01,E1303,N367,164.7571786
194,TESTA01,E1303,N329,380.1972296
195,TESTA01,T507-X01,E1320,69.95064517
196,TESTA01,E1320,N315,116.3133496
197,TESTA01,E1320,N316,188.1341681
198,TESTA01,T256-X01,E1337,244.0696576
199,TESTA01,E1337,N173,354
200,TESTA01,E1337,N357,103.8187487
201,TESTA01,T256-X02,E1597,166.2528726
202,TESTA01,E1597,N405,202.4486158
203,TESTA01,E1597,N392,1079.191142
204,TESTA01,T256-X03,E1371,164.7093344
205,TESTA01,E1371,N173,240
206,TESTA01,E1371,N357,217.8187487
207,TESTA01,D02-X10,E1388,112.1960137
208,TESTA01,E1388,N312,105
209,TESTA01,E1388,N311,277.8187487
210,TESTA01,C07-X01,E1405,128.2721642
211,TESTA01,E1405,N392,371.1125112
212,TESTA01,E1405,N394,370.6123049
213,TESTA01,T255-X03,E1527,261.9950136
214,TESTA01,E1527,N29,446.4561513
215,TESTA01,E1527,N30,163.6382623
216,TESTA01,T507-X03,E1320,67.97152127
217,TESTA01,C03-X05,E1555,92.53491206
218,TESTA01,B02-X04,E645,201.6231393
219,TESTA01,N0,N1,77.53392617
220,TESTA01,N2,N3,277.1727706
221,TESTA01,N3,N4,277.1727706
222,TESTA01,N4,N5,277.1727706
223,TESTA01,N5,N6,277.1727706
224,TESTA01,N6,N7,277.1727706
225,TESTA01,N7,N8,277.1727706
226,TESTA01,N8,N9,277.1727706
227,TESTA01,N9,N10,277.1727706
228,TESTA01,N10,N11,200.5723788
229,TESTA01,N11,N12,76.60039173
230,TESTA01,N13,N14,277.1727706
231,TESTA01,N14,N15,277.1727706
232,TESTA01,N15,N16,277.1727706
233,TESTA01,N16,N17,277.1727706
234,TESTA01,N17,N18,277.1727706
235,TESTA01,N18,N19,277.1727706
236,TESTA01,N20,N21,277.1727706
237,TESTA01,N21,N22,277.1727706
238,TESTA01,N22,N2,277.1727706
239,TESTA01,N23,N24,610.0944137
240,TESTA01,N24,N25,610.0944137
241,TESTA01,N25,N26,610.0944137
242,TESTA01,N26,N27,610.0944137
243,TESTA01,N27,N28,610.0944137
244,TESTA01,N28,N29,610.0944137
245,TESTA01,N29,N30,610.0944137
246,TESTA01,N30,N31,133.9094274
247,TESTA01,N31,N32,476.1849863
248,TESTA01,N32,N33,610.0944137
249,TESTA01,N34,N35,610.0944137
250,TESTA01,N35,N36,610.0944137
251,TESTA01,N36,N37,610.0944137
252,TESTA01,N37,N38,610.0944137
253,TESTA01,N38,N39,610.0944137
254,TESTA01,N39,N40,610.0944137
255,TESTA01,N41,N42,610.0944137
256,TESTA01,N42,N43,610.0944137
257,TESTA01,N43,N23,610.0944137
258,TESTA01,N44,N45,601.8608732
259,TESTA01,N46,N47,334.1605198
260,TESTA01,N47,N48,267.7003534
261,TESTA01,N48,N49,601.8608732
262,TESTA01,N49,N50,601.8608732
263,TESTA01,N51,N52,601.8608732
264,TESTA01,N52,N53,385.5854093
265,TESTA01,N53,N54,216.2754639
266,TESTA01,N55,N56,601.8608732
267,TESTA01,N56,N57,601.8608732
268,TESTA01,N57,N58,601.8608732
269,TESTA01,N58,N59,601.8608732
270,TESTA01,N59,N60,218.9871398
271,TESTA01,N60,N61,382.8737335
272,TESTA01,N61,N62,601.8608732
273,TESTA01,N62,N63,387.4466391
274,TESTA01,N63,N64,214.4142341
275,TESTA01,N64,N65,601.8608732
276,TESTA01,N65,N66,301.7000579
277,TESTA01,N66,N68,300.1608154
278,TESTA01,N68,N69,428.4176408
279,TESTA01,N69,N70,173.4432324
280,TESTA01,N71,N72,524.0554579
281,TESTA01,N73,N74,524.0554579
282,TESTA01,N74,N75,252.5853502
283,TESTA01,N75,N76,271.4701077
284,TESTA01,N76,N77,524.0554579
285,TESTA01,N77,N78,453.9996805
286,TESTA01,N78,N79,70.05577738
287,TESTA01,N79,N81,524.0554579
288,TESTA01,N81,N83,524.0554579
289,TESTA01,N83,N84,524.0554579
290,TESTA01,N84,N85,380.5171046
291,TESTA01,N85,N86,143.5383533
292,TESTA01,N86,N87,524.0554579
293,TESTA01,N87,N88,524.0554579
294,TESTA01,N88,N89,140.0521294
295,TESTA01,N89,N90,384.0033285
296,TESTA01,N90,N91,524.0554579
297,TESTA01,N91,N92,524.0554579
298,TESTA01,N92,N93,524.0554579
299,TESTA01,N93,N94,524.0554579
300,TESTA01,N94,N95,524.0554579
301,TESTA01,N95,N96,524.0554579
302,TESTA01,N96,N97,401.1278642
303,TESTA01,N97,N71,122.9275937
304,TESTA01,N98,N99,562.2647632
305,TESTA01,N100,N101,307.4377356
306,TESTA01,N101,N102,254.8270276
307,TESTA01,N102,N401,471.5216488
308,TESTA01,N401,N103,90.74311431
309,TESTA01,N103,N104,378.9541878
310,TESTA01,N104,N105,183.3105754
311,TESTA01,N105,N382,446.604462
312,TESTA01,N382,N106,115.6603012
313,TESTA01,N106,N107,562.2647632
314,TESTA01,N108,N109,141.468662
315,TESTA01,N109,N110,562.2647632
316,TESTA01,N110,N111,379.5299009
317,TESTA01,N111,N112,182.7348622
318,TESTA01,N112,N113,257.8172454
319,TESTA01,N113,N114,304.4475177
320,TESTA01,N115,N116,408.6195857
321,TESTA01,N117,N118,571.7678296
322,TESTA01,N118,N119,571.7678296
323,TESTA01,N119,N383,123.2001031
324,TESTA01,N383,N384,196.6042167
325,TESTA01,N384,N120,251.9635098
326,TESTA01,N120,N121,188.0621086
327,TESTA01,N121,N122,383.705721
328,TESTA01,N122,N402,129.1177898
329,TESTA01,N402,N123,269.0477195
330,TESTA01,N124,N125,312.1892688
331,TESTA01,N125,N126,571.7678296
332,TESTA01,N126,N127,571.7678296
333,TESTA01,N127,N128,571.7678296
334,TESTA01,N128,N129,158.3967106
335,TESTA01,N129,N130,413.371119
336,TESTA01,N130,N131,571.7678296
337,TESTA01,N131,N133,571.7678296
338,TESTA01,N133,N134,199.3677123
339,TESTA01,N134,N135,372.4001173
340,TESTA01,N136,N137,185.7652248
341,TESTA01,N137,N385,250.5415701
342,TESTA01,N385,N138,168.3073117
343,TESTA01,N138,N139,152.9189478
344,TESTA01,N140,N141,524.0554579
345,TESTA01,N141,N142,524.0554579
346,TESTA01,N142,N144,524.0554579
347,TESTA01,N144,N145,524.0554579
348,TESTA01,N145,N146,524.0554579
349,TESTA01,N146,N147,524.0554579
350,TESTA01,N147,N148,524.0554579
351,TESTA01,N148,N149,524.0554579
352,TESTA01,N149,N150,524.0554579
353,TESTA01,N150,N151,524.0554579
354,TESTA01,N151,N152,524.0554579
355,TESTA01,N152,N154,524.0554579
356,TESTA01,N154,N156,524.0554579
357,TESTA01,N156,N157,524.0554579
358,TESTA01,N157,N158,524.0554579
359,TESTA01,N158,N159,524.0554579
360,TESTA01,N159,N387,287.9001383
361,TESTA01,N387,N160,96.10319023
362,TESTA01,N160,N161,140.0521294
363,TESTA01,N162,N163,524.0554579
364,TESTA01,N163,N140,524.0554579
365,TESTA01,N164,N165,601.8608732
366,TESTA01,N165,N166,601.8608732
367,TESTA01,N166,N167,201.2382462
368,TESTA01,N167,N168,192.8485094
369,TESTA01,N168,N169,207.7741177
370,TESTA01,N169,N170,601.8608732
371,TESTA01,N170,N171,601.8608732
372,TESTA01,N171,N172,300.9304366
373,TESTA01,N172,N173,154.0858129
374,TESTA01,N173,N174,146.8446237
375,TESTA01,N174,N175,203.1086304
376,TESTA01,N175,N176,398.7522428
377,TESTA01,N176,N403,171.8596435
378,TESTA01,N403,N177,430.0012298
379,TESTA01,N177,N178,274.6250826
380,TESTA01,N178,N179,327.2357906
381,TESTA01,N179,N180,601.8608732
382,TESTA01,N180,N181,601.8608732
383,TESTA01,N181,N182,601.8608732
384,TESTA01,N182,N183,173.4432324
385,TESTA01,N183,N184,428.4176408
386,TESTA01,N184,N185,601.8608732
387,TESTA01,N185,N186,324.2455728
388,TESTA01,N186,N187,277.6153005
389,TESTA01,N187,N188,215.4953593
390,TESTA01,N188,N189,386.3655139
391,TESTA01,N190,N191,401.0491266
392,TESTA01,N191,N192,200.8117467
393,TESTA01,N193,N194,368.136627
394,TESTA01,N194,N164,233.7242462
395,TESTA01,N195,N196,289.8435258
396,TESTA01,N196,N197,289.8435258
397,TESTA01,N197,N198,289.8435258
398,TESTA01,N198,N199,289.8435258
399,TESTA01,N199,N200,289.8435258
400,TESTA01,N200,N201,289.8435258
401,TESTA01,N201,N202,289.8435258
402,TESTA01,N202,N203,289.8435258
403,TESTA01,N203,N204,289.8435258
404,TESTA01,N204,N205,289.8435258
405,TESTA01,N205,N206,289.8435258
406,TESTA01,N206,N207,289.8435258
407,TESTA01,N207,N208,289.8435258
408,TESTA01,N208,N209,289.8435258
409,TESTA01,N209,N210,289.8435258
410,TESTA01,N210,N211,289.8435258
411,TESTA01,N211,N212,289.8435258
412,TESTA01,N212,N213,289.8435258
413,TESTA01,N213,N214,289.8435258
414,TESTA01,N214,N195,289.8435258
415,TESTA01,N215,N216,606.9657244
416,TESTA01,N216,N217,606.9657244
417,TESTA01,N217,N218,606.9657244
418,TESTA01,N218,N219,606.9657244
419,TESTA01,N219,N220,606.9657244
420,TESTA01,N220,N221,303.4828622
421,TESTA01,N221,N222,303.4828622
422,TESTA01,N222,N223,606.9657244
423,TESTA01,N223,N224,606.9657244
424,TESTA01,N224,N225,606.9657244
425,TESTA01,N225,N226,606.9657244
426,TESTA01,N226,N227,606.9657244
427,TESTA01,N227,N228,606.9657244
428,TESTA01,N228,N229,606.9657244
429,TESTA01,N229,N230,606.9657244
430,TESTA01,N230,N231,606.9657244
431,TESTA01,N231,N232,606.9657244
432,TESTA01,N232,N233,606.9657244
433,TESTA01,N233,N234,606.9657244
434,TESTA01,N234,N235,606.9657244
435,TESTA01,N235,N215,606.9657244
436,TESTA01,N236,N237,225.5540364
437,TESTA01,N238,N239,169.9038322
438,TESTA01,N239,N237,365
439,TESTA01,N51,N240,695.7799694
440,TESTA01,N45,N46,601.8608732
441,TESTA01,N54,N1,541.1628561
442,TESTA01,N1,N55,60.69801714
443,TESTA01,N241,N242,101.3539501
444,TESTA01,N243,N244,383.4433745
445,TESTA01,N244,N245,425
446,TESTA01,N246,N108,600
447,TESTA01,N108,N247,261.1507074
448,TESTA01,N247,N248,375.2545194
449,TESTA01,N247,N249,444.4932076
450,TESTA01,N249,N250,255.1897277
451,TESTA01,N241,N246,207.9224246
452,TESTA01,N248,N251,217.2897653
453,TESTA01,N106,N240,352.7077991
454,TESTA01,N252,N253,313.0406526
455,TESTA01,N253,N254,241.8854636
456,TESTA01,N245,N60,99.31960656
457,TESTA01,N255,N0,80
458,TESTA01,N236,N256,80.00114812
459,TESTA01,N257,N258,826.3672474
460,TESTA01,N258,N259,118.6327526
461,TESTA01,N259,N252,70.8062357
462,TESTA01,N252,N260,909.1937643
463,TESTA01,N256,N53,108.4122088
464,TESTA01,N242,N244,129.1083842
465,TESTA01,N261,N262,418.3685274
466,TESTA01,N66,N263,62.95688492
467,TESTA01,N263,N264,695.7799694
468,TESTA01,N192,N265,498.7890193
469,TESTA01,N265,N193,103.0718539
470,TESTA01,N266,N267,270.2192992
471,TESTA01,N268,N269,227.0880482
472,TESTA01,N194,N269,135.1372786
473,TESTA01,N265,N267,134.5037608
474,TESTA01,N111,N270,253.2664449
475,TESTA01,N270,N63,779.3957291
476,TESTA01,N111,N134,1000.520447
477,TESTA01,N134,N188,1004.502946
478,TESTA01,N270,N271,234.0699421
479,TESTA01,N104,N121,1000.449899
480,TESTA01,N175,N121,1004.502364
481,TESTA01,N272,N273,465.0626824
482,TESTA01,N139,N272,180.5145403
483,TESTA01,N274,N275,234.769505
484,TESTA01,N275,N138,765.6803938
485,TESTA01,N274,N276,216.5566255
486,TESTA01,N276,N277,309.6141788
487,TESTA01,N275,N278,314.0930744
488,TESTA01,N273,N279,524.0110082
489,TESTA01,N280,N281,75
490,TESTA01,N280,N282,181.7434344
491,TESTA01,N282,N260,163.9930438
492,TESTA01,N281,N283,267.7737664
493,TESTA01,N258,N284,346.691673
494,TESTA01,N284,N285,214.8075485
495,TESTA01,N286,N238,334.6117975
496,TESTA01,N255,N257,210.5009274
497,TESTA01,N11,N287,295.7369871
498,TESTA01,N287,N288,315.8591301
499,TESTA01,N289,N287,75.7190388
500,TESTA01,N287,N290,203.0636709
501,TESTA01,N20,N19,277.1727706
502,TESTA01,N57,N261,843.0297295
503,TESTA01,N41,N40,610.0944137
504,TESTA01,N246,N291,216.9815544
505,TESTA01,N291,N292,124.6633471
506,TESTA01,N292,N293,153.2918886
507,TESTA01,N294,N295,144.8565582
508,TESTA01,N296,N297,826.4628231
509,TESTA01,N297,N298,441.7978523
510,TESTA01,N296,N295,104.4398374
511,TESTA01,N294,N239,197.603519
512,TESTA01,N298,N404,245.2356529
513,TESTA01,N404,N299,133.9978762
514,TESTA01,N297,N300,367.8947674
515,TESTA01,N301,N302,94.22043548
516,TESTA01,N302,N291,300
517,TESTA01,N303,N304,141.4394406
518,TESTA01,N303,N305,346.2837204
519,TESTA01,N305,N85,512.2484531
520,TESTA01,N305,N306,117.7302275
521,TESTA01,N301,N78,300
522,TESTA01,N189,N190,601.8608732
523,TESTA01,N307,N308,75
524,TESTA01,N309,N310,382.8187487
525,TESTA01,N310,N311,457.5320875
526,TESTA01,N307,N312,233.2290933
527,TESTA01,N312,N311,382.8187487
528,TESTA01,N308,N168,109.7741296
529,TESTA01,N313,N113,1044.821584
530,TESTA01,N113,N315,367.1457059
531,TESTA01,N315,N316,304.4475177
532,TESTA01,N313,N186,963.3227943
533,TESTA01,N317,N318,209.2848825
534,TESTA01,N319,N318,309.4701955
535,TESTA01,N318,N320,220.3455578
536,TESTA01,N10,N321,278.8362617
537,TESTA01,N321,N319,727.6391129
538,TESTA01,N321,N289,225.9609193
539,TESTA01,N68,N317,243.8369165
540,TESTA01,N89,N160,1000
541,TESTA01,N160,N322,280.5101777
542,TESTA01,N97,N323,199.6383691
543,TESTA01,N323,N324,312.610084
544,TESTA01,N323,N325,97.04876681
545,TESTA01,N75,N326,500.5397637
546,TESTA01,N326,N327,169.1738904
547,TESTA01,N320,N32,101.8911954
548,TESTA01,N31,N328,173.8595072
549,TESTA01,N116,N329,333.4697031
550,TESTA01,N329,N69,699.1241183
551,TESTA01,N129,N116,1000.449899
552,TESTA01,N183,N330,360.5757323
553,TESTA01,N330,N129,643.9266321
554,TESTA01,N330,N331,509.1498252
555,TESTA01,N331,N332,311.343738
556,TESTA01,N333,N334,250
557,TESTA01,N136,N335,525.9572435
558,TESTA01,N335,N336,335.0386782
559,TESTA01,N336,N337,291.0246598
560,TESTA01,N337,N339,399.5747222
561,TESTA01,N339,N376,64.85756375
562,TESTA01,N191,N340,750
563,TESTA01,N340,N334,97.0766546
564,TESTA01,N333,N136,192.0766546
565,TESTA01,N124,N342,163.7848312
566,TESTA01,N342,N101,836.6650676
567,TESTA01,N178,N343,698.4760008
568,TESTA01,N343,N124,306.0263635
569,TESTA01,N98,N344,249.3313221
570,TESTA01,N344,N127,751.1298601
571,TESTA01,N98,N345,175.9887171
572,TESTA01,N344,N346,511.4458371
573,TESTA01,N346,N347,458.6382954
574,TESTA01,N347,N348,508.0843831
575,TESTA01,N50,N51,601.8608732
576,TESTA01,N209,N349,393.8999347
577,TESTA01,N349,N350,555.7162841
578,TESTA01,N351,N352,230.8425132
579,TESTA01,N352,N353,396.8208509
580,TESTA01,N349,N354,100.944852
581,TESTA01,N353,N354,70.43336764
582,TESTA01,N355,N356,213.8407013
583,TESTA01,N356,N221,258.6102264
584,TESTA01,N356,N350,365.6016387
585,TESTA01,N355,N172,302.2211743
586,TESTA01,N173,N357,457.8187487
587,TESTA01,N358,N359,264.8386493
588,TESTA01,N358,N360,192.6591658
589,TESTA01,N361,N359,314.931917
590,TESTA01,N359,N234,272.091525
591,TESTA01,N197,N361,853.8683688
592,TESTA01,N361,N362,330.5094947
593,TESTA01,N363,N364,324.7686536
594,TESTA01,N364,N365,449.8903583
595,TESTA01,N365,N362,115.4853557
596,TESTA01,N365,N366,360.6089359
597,TESTA01,N345,N367,329.2200306
598,TESTA01,N367,N329,544.9544082
599,TESTA01,N360,N184,101.5821763
600,TESTA01,N70,N44,601.8608732
601,TESTA01,N259,N368,98.26414246
602,TESTA01,N368,N369,562.2647632
603,TESTA01,N161,N162,524.0554579
604,TESTA01,N370,N123,307.0776198
605,TESTA01,N123,N371,170.203294
606,TESTA01,N371,N342,427.5206115
607,TESTA01,N370,N343,432.6469039
608,TESTA01,N283,N167,945
609,TESTA01,N339,N372,383.3885857
610,TESTA01,N243,N372,189.0839518
611,TESTA01,N372,N377,32.06522777
612,TESTA01,N373,N372,397.3892664
613,TESTA01,N73,N72,524.0554579
614,TESTA01,N34,N33,610.0944137
615,TESTA01,N337,N373,383.3948146
616,TESTA01,N353,N375,322.1572497
617,TESTA01,N101,N47,1032.61704
618,TESTA01,N309,N312,457.5320875
619,TESTA01,N279,N164,534.9373176
620,TESTA01,N378,N379,383.3885857
621,TESTA01,N379,N389,92.4227725
622,TESTA01,N377,N378,64.85756375
623,TESTA01,N376,N379,32.06522777
624,TESTA01,N387,N390,221.9196784
625,TESTA01,N382,N383,1000.453784
626,TESTA01,N405,N392,1281.639758
627,TESTA01,N392,N394,741.7248161
628,TESTA01,N394,N393,720.403481
629,TESTA01,N395,N396,441.4193779
630,TESTA01,N396,N397,363.9659918
631,TESTA01,N389,N399,1281.414189
632,TESTA01,N399,N400,138.1197813
633,TESTA01,N399,N385,22.20535968
634,TESTA01,N392,N384,499.3993495
635,TESTA01,N406,N407,311.9233954
636,TESTA01,N407,N404,133.1400779
637,TESTA01,N406,N118,162.5406629
638,TESTA01,N395,N394,529.5774841
639,TESTA01,N174,N405,209.6406416
640,TESTA01,N401,N402,1001.014743
641,TESTA01,N402,N403,1004.884089
