id,scenario,source,target,length
164,SYN_SYN_LARGE_S102,L0012A,E5,27
165,SYN_SYN_LARGE_S102,L0012B,E14,47
166,SYN_SYN_LARGE_S102,L0013A,E10,68
167,SYN_SYN_LARGE_S102,L0013B,E18,63
168,SYN_SYN_LARGE_S102,L0014A,E7,94
169,SYN_SYN_LARGE_S102,L0014B,E10,11
170,SYN_SYN_LARGE_S102,L0015A,E2,24
171,SYN_SYN_LARGE_S102,L0015B,E6,12
172,SYN_SYN_LARGE_S102,L0016A,E11,88
173,SYN_SYN_LARGE_S102,L0016B,E13,60
174,SYN_SYN_LARGE_S102,L0017A,E15,71
175,SYN_SYN_LARGE_S102,L0017B,E18,44
176,SYN_SYN_LARGE_S102,L0018A,E4,65
177,SYN_SYN_LARGE_S102,L0018B,E13,17
178,SYN_SYN_LARGE_S102,L0019A,E1,81
179,SYN_SYN_LARGE_S102,L0019B,E8,90
180,SYN_SYN_LARGE_S102,L0020A,E9,23
181,SYN_SYN_LARGE_S102,L0020B,E18,99
182,SYN_SYN_LARGE_S102,L0021A,E2,54
183,SYN_SYN_LARGE_S102,L0021B,E7,12
184,SYN_SYN_LARGE_S102,L0022A,E7,39
185,SYN_SYN_LARGE_S102,L0022B,E16,41
186,SYN_SYN_LARGE_S102,L0023A,E12,31
187,SYN_SYN_LARGE_S102,L0023B,E17,73
188,SYN_SYN_LARGE_S102,L0024A,E0,11
189,SYN_SYN_LARGE_S102,L0024B,E12,28
190,SYN_SYN_LARGE_S102,L0025A,E4,75
191,SYN_SYN_LARGE_S102,L0025B,E16,70
192,SYN_SYN_LARGE_S102,L0026A,E14,18
193,SYN_SYN_LARGE_S102,L0026B,E16,17
194,SYN_SYN_LARGE_S102,L0027A,E2,62
195,SYN_SYN_LARGE_S102,L0027B,E14,81
196,SYN_SYN_LARGE_S102,L0028A,E12,12
197,SYN_SYN_LARGE_S102,L0028B,E15,16
198,SYN_SYN_LARGE_S102,L0029A,E10,14
199,SYN_SYN_LARGE_S102,L0029B,E12,78
200,SYN_SYN_LARGE_S102,L0030A,E2,96
201,SYN_SYN_LARGE_S102,L0030B,E9,64
202,SYN_SYN_LARGE_S102,L0031A,E3,80
203,SYN_SYN_LARGE_S102,L0031B,E9,25
204,SYN_SYN_LARGE_S102,L0032A,E4,24
205,SYN_SYN_LARGE_S102,L0032B,E10,34
206,SYN_SYN_LARGE_S102,L0033A,E1,44
207,SYN_SYN_LARGE_S102,L0033B,E2,80
208,SYN_SYN_LARGE_S102,L0034A,E0,80
209,SYN_SYN_LARGE_S102,L0034B,E17,20
210,SYN_SYN_LARGE_S102,L0035A,E1,11
211,SYN_SYN_LARGE_S102,L0035B,E17,16
212,SYN_SYN_LARGE_S102,L0036A,E2,20
213,SYN_SYN_LARGE_S102,L0036B,E8,10
214,SYN_SYN_LARGE_S102,L0037A,E3,24
215,SYN_SYN_LARGE_S102,L0037B,E6,86
216,SYN_SYN_LARGE_S102,L0038A,E7,34
217,SYN_SYN_LARGE_S102,L0038B,E18,85
218,SYN_SYN_LARGE_S102,L0039A,E3,38
219,SYN_SYN_LARGE_S102,L0039B,E8,23
220,SYN_SYN_LARGE_S102,L0040A,E0,77
221,SYN_SYN_LARGE_S102,L0040B,E16,85
222,SYN_SYN_LARGE_S102,L0041A,E7,42
223,SYN_SYN_LARGE_S102,L0041B,E19,85
224,SYN_SYN_LARGE_S102,L0042A,E11,25
225,SYN_SYN_LARGE_S102,L0042B,E18,69
226,SYN_SYN_LARGE_S102,L0043A,E4,80
227,SYN_SYN_LARGE_S102,L0043B,E12,42
228,SYN_SYN_LARGE_S102,L0044A,E7,87
229,SYN_SYN_LARGE_S102,L0044B,E11,73
