i,i,i,i,i
439,TESTA01,N361,N362,330.5094947
440,TESTA01,N363,N364,324.7686536
441,TESTA01,N364,N365,449.8903583
442,TESTA01,N365,N362,115.4853557
443,TESTA01,N365,N366,360.6089359
444,TESTA01,N345,N367,329.2200306
445,TESTA01,N367,N329,544.9544082
446,TESTA01,N360,N184,101.5821763
447,TESTA01,N70,N44,601.8608732
448,TESTA01,N259,N368,98.26414246
449,TESTA01,N368,N369,562.2647632
450,TESTA01,N161,N162,524.0554579
451,TESTA01,N370,N123,307.0776198
452,TESTA01,N123,N371,170.203294
453,TESTA01,N371,N342,427.5206115
454,TESTA01,N370,N343,432.6469039
455,TESTA01,N283,N167,945
456,TESTA01,N339,N372,383.3885857
457,TESTA01,N243,N372,189.0839518
458,TESTA01,N372,N377,32.06522777
459,TESTA01,N373,N372,397.3892664
460,TESTA01,N73,N72,524.0554579
461,TESTA01,N34,N33,610.0944137
462,TESTA01,N337,N373,383.3948146
463,TESTA01,N353,N375,322.1572497
464,TESTA01,N101,N47,1032.61704
465,TESTA01,N309,N312,457.5320875
466,TESTA01,N279,N164,534.9373176
467,TESTA01,N378,N379,383.3885857
468,TESTA01,N379,N389,92.4227725
469,TESTA01,N377,N378,64.85756375
470,TESTA01,N376,N379,32.06522777
471,TESTA01,N387,N390,221.9196784
472,TESTA01,N382,N383,1000.453784
473,TESTA01,N405,N392,1281.639758
474,TESTA01,N392,N394,741.7248161
475,TESTA01,N394,N393,720.403481
476,TESTA01,N395,N396,441.4193779
477,TESTA01,N396,N397,363.9659918
478,TESTA01,N389,N399,1281.414189
479,TESTA01,N399,N400,138.1197813
480,TESTA01,N399,N385,22.20535968
481,TESTA01,N392,N384,499.3993495
482,TESTA01,N406,N407,311.9233954
483,TESTA01,N407,N404,133.1400779
484,TESTA01,N406,N118,162.5406629
485,TESTA01,N395,N394,529.5774841
486,TESTA01,N174,N405,209.6406416
487,TESTA01,N401,N402,1001.014743
488,TESTA01,N402,N403,1004.884089
