i,i,i,i,i
166,TESTA03,N94,N95,36.1056
167,TESTA03,N95,N96,375
168,TESTA03,N97,N98,65
169,TESTA03,N99,N98,350
170,TESTA03,N98,N95,181.77
171,TESTA03,N100,N101,181.45
172,TESTA03,N101,N97,350
173,TESTA03,N97,N93,31.2848
174,TESTA03,N102,N103,240.987
175,TESTA03,N103,N90,381.466
176,TESTA03,N90,N96,150.304
177,TESTA03,N96,N79,141.993
178,TESTA03,N79,N78,180.46
179,TESTA03,N101,N99,65.0007
180,TESTA03,N99,N103,375
181,TESTA03,N100,N104,375.458
182,TESTA03,N104,N64,79.3772
183,TESTA03,N91,N105,517.363
184,TESTA03,N106,N107,181.36
185,TESTA03,N107,N108,465.483
186,TESTA03,N57,N108,166.381
187,TESTA03,N108,N66,41.1387
188,TESTA03,N109,N110,65
189,TESTA03,N110,N111,797.5
190,TESTA03,N111,N112,41.8381
191,TESTA03,N112,N113,98.2085
192,TESTA03,N112,N114,494.564
193,TESTA03,N111,N60,158.056
194,TESTA03,N115,N116,65
195,TESTA03,N116,N106,332.017
196,TESTA03,N117,N118,65
197,TESTA03,N110,N118,350
198,TESTA03,N118,N116,325
199,TESTA03,N119,N120,797.5
200,TESTA03,N119,N55,56.2892
201,TESTA03,N55,N56,166.381
202,TESTA03,N56,N258,75.4072
203,TESTA03,N109,N117,350
204,TESTA03,N117,N120,86.9222
205,TESTA03,N120,N115,238.078
206,TESTA03,N121,N122,232.257
207,TESTA03,N114,N123,478.09
208,TESTA03,N123,N124,56.9039
209,TESTA03,N109,N125,213.159
210,TESTA03,N125,N126,323.763
211,TESTA03,N126,N122,435.536
212,TESTA03,N127,N259,337.679
213,TESTA03,N259,N128,125
214,TESTA03,N128,N129,545.944
215,TESTA03,N129,N130,296.046
216,TESTA03,N130,N131,307.079
217,TESTA03,N131,N132,512.594
218,TESTA03,N133,N134,70
219,TESTA03,N134,N128,140.088
220,TESTA03,N135,N136,212.187
221,TESTA03,N136,N137,391.688
222,TESTA03,N137,N138,229.258
223,TESTA03,N139,N140,109.607
224,TESTA03,N140,N138,412.591
225,TESTA03,N138,N260,1002.83
226,TESTA03,N260,N141,204.823
227,TESTA03,N133,N140,229.258
228,TESTA03,N133,N137,412.591
229,TESTA03,N137,N261,1002.83
230,TESTA03,N135,N142,111.826
231,TESTA03,N140,N143,145.786
232,TESTA03,N127,N144,109.141
233,TESTA03,N145,N146,270.878
234,TESTA03,N146,N147,478.497
235,TESTA03,N148,N149,136.027
236,TESTA03,N149,N150,146.071
237,TESTA03,N151,N152,70
238,TESTA03,N152,N149,166.657
239,TESTA03,N149,N153,100.909
240,TESTA03,N153,N268,54.3195
241,TESTA03,N272,N152,411.156
242,TESTA03,N152,N147,333.56
243,TESTA03,N147,N154,280.551
244,TESTA03,N150,N155,234.272
245,TESTA03,N156,N157,331.481
246,TESTA03,N158,N159,70
247,TESTA03,N159,N157,298.931
248,TESTA03,N157,N160,154.314
249,TESTA03,N268,N160,860.76
250,TESTA03,N160,N161,385.059
251,TESTA03,N161,N162,902.773
252,TESTA03,N162,N163,359.368
253,TESTA03,N163,N164,408.236
254,TESTA03,N164,N165,1412.43
255,TESTA03,N277,N165,386.173
256,TESTA03,N165,N166,62.5588
257,TESTA03,N166,N167,447.501
258,TESTA03,N153,N168,418.051
259,TESTA03,N168,N169,196.06
260,TESTA03,N168,N170,131.079
261,TESTA03,N171,N172,128.174
262,TESTA03,N169,N154,267.565
263,TESTA03,N154,N167,1411.05
264,TESTA03,N173,N174,736.317
265,TESTA03,N174,N175,20.9605
266,TESTA03,N173,N176,6.73927
267,TESTA03,N176,N10,433.644
268,TESTA03,N177,N178,56.4461
269,TESTA03,N178,N273,496.944
270,TESTA03,N273,N179,663.749
271,TESTA03,N179,N180,389.286
272,TESTA03,N180,N181,271.395
273,TESTA03,N181,N182,192.618
274,TESTA03,N158,N183,106.494
275,TESTA03,N183,N180,249.885
276,TESTA03,N146,N184,305.403
277,TESTA03,N151,N177,257.926
278,TESTA03,N162,N185,327.729
279,TESTA03,N185,N186,359.368
280,TESTA03,N186,N163,327.729
281,TESTA03,N183,N187,306.196
282,TESTA03,N187,N188,121.006
283,TESTA03,N187,N181,252.297
284,TESTA03,N181,N24,32.4139
285,TESTA03,N189,N190,272.324
286,TESTA03,N190,N191,185.764
287,TESTA03,N191,N192,332.488
288,TESTA03,N192,N193,189.501
289,TESTA03,N193,N194,302.835
290,TESTA03,N194,N195,231.115
291,TESTA03,N195,N196,8
292,TESTA03,N196,N197,183.864
293,TESTA03,N197,N198,507.954
294,TESTA03,N198,N199,151.991
295,TESTA03,N199,N200,119.146
296,TESTA03,N199,N201,202.352
297,TESTA03,N194,N202,561.1
298,TESTA03,N202,N203,275.078
299,TESTA03,N192,N204,418.123
300,TESTA03,N193,N205,857.26
301,TESTA03,N205,N206,232.018
302,TESTA03,N207,N208,437.542
303,TESTA03,N208,N209,167.655
304,TESTA03,N209,N210,196.888
305,TESTA03,N210,N211,180.813
306,TESTA03,N211,N212,281.673
307,TESTA03,N212,N190,152.749
308,TESTA03,N200,N215,130.36
309,TESTA03,N215,N38,42.1455
310,TESTA03,N62,N178,71.5642
311,TESTA03,N36,N216,211.112
312,TESTA03,N216,N217,100.885
313,TESTA03,N217,N218,1581.9
314,TESTA03,N219,N220,211.112
315,TESTA03,N220,N221,100.885
316,TESTA03,N221,N222,1581.9
317,TESTA03,N218,N1,72.528
318,TESTA03,N1,N222,75.9507
319,TESTA03,N223,N265,624.377
320,TESTA03,N265,N224,604.287
321,TESTA03,N225,N226,501.301
322,TESTA03,N226,N227,727.363
323,TESTA03,N224,N15,762.528
324,TESTA03,N15,N228,6.73173
325,TESTA03,N227,N229,769.23
326,TESTA03,N228,N230,3.97322
327,TESTA03,N230,N176,204.036
328,TESTA03,N176,N231,734.296
329,TESTA03,N231,N232,40.4682
330,TESTA03,N229,N233,3.97322
331,TESTA03,N233,N234,948.165
332,TESTA03,N234,N235,30.636
333,TESTA03,N231,N123,118.413
334,TESTA03,N123,N174,119.925
335,TESTA03,N123,N234,112.142
336,TESTA03,N1,N223,63.6262
337,TESTA03,N223,N225,8
338,TESTA03,N236,N237,1292.21
339,TESTA03,N238,N239,729.291
340,TESTA03,N239,N240,570.923
341,TESTA03,N241,N242,184.835
342,TESTA03,N242,N243,354.319
343,TESTA03,N244,N245,299.028
344,TESTA03,N246,N247,538.816
345,TESTA03,N248,N249,299.908
346,TESTA03,N244,N243,77.2072
347,TESTA03,N248,N247,76.4262
348,TESTA03,N241,N237,79.4539
349,TESTA03,N240,N246,87.4539
350,TESTA03,N250,N245,262.325
351,TESTA03,N251,N249,262.325
352,TESTA03,N29,N250,30
353,TESTA03,N28,N251,30
354,TESTA03,N34,N215,446.378
355,TESTA03,N215,N20,507.954
356,TESTA03,N20,N252,25.7864
357,TESTA03,N252,N219,42.1455
358,TESTA03,N238,N195,17.7271
359,TESTA03,N236,N196,17.7271
360,TESTA03,N253,N69,397.122
361,TESTA03,N254,N255,377.122
362,TESTA03,N255,N69,8
363,TESTA03,N262,N261,391.688
364,TESTA03,N261,N260,229.258
365,TESTA03,N258,N259,79.4117
366,TESTA03,N257,N263,273.676
367,TESTA03,N263,N266,278.027
368,TESTA03,N209,N265,103.678
369,TESTA03,N266,N267,348.861
370,TESTA03,N274,N275,70
371,TESTA03,N275,N276,31.9727
372,TESTA03,N276,N273,206.463
373,TESTA03,N274,N272,143.563
374,TESTA03,N270,N276,24.4452
375,TESTA03,N158,N269,185.621
376,TESTA03,N151,N271,170.859
