id,type1,type2,source,misc,target,misc,misc,misc,weight,misc
,,,E491,,E955,,,,0.007,
,,,E632,,E951,,,,0.007,
,,,E1368,,E913,,,,0.004,
,,,E1207,,E379,,,,0.006,
,,,E401,,E577,,,,0.001,
,,,E348,,E558,,,,0.009,
,,,E672,,E798,,,,0.003,
,,,E619,,E914,,,,0.001,
,,,E1279,,E815,,,,0.001,
,,,E435,,E451,,,,0.001,
,,,E905,,E926,,,,0.009,
,,,E1291,,E398,,,,0.001,
,,,E1145,,E525,,,,0.009,
,,,E515,,E747,,,,0.004,
,,,E434,,E815,,,,0.009,
,,,E892,,E969,,,,0.007,
,,,E344,,E613,,,,0.008,
,,,E420,,E696,,,,0.009,
,,,E1196,,E894,,,,0.004,
,,,E1049,,E1129,,,,0.005,
,,,E436,,E815,,,,0.004,
,,,E1301,,E348,,,,0.004,
,,,E1178,,E1349,,,,0.007,
,,,E1174,,E1232,,,,0.002,
,,,E608,,E867,,,,0.008,
,,,E1274,,E845,,,,0.009,
,,,E772,,E871,,,,0.005,
,,,E1154,,E663,,,,0.008,
,,,E1169,,E935,,,,0.006,
,,,E390,,E962,,,,0.008,
,,,E1192,,E1199,,,,0.001,
,,,E659,,E811,,,,0.004,
,,,E1033,,E1314,,,,0.004,
,,,E1105,,E459,,,,0.004,
,,,E1007,,E1071,,,,0.009,
,,,E1111,,E804,,,,0.007,
,,,E522,,E837,,,,0.004,
,,,E1192,,E849,,,,0.005,
,,,E1158,,E725,,,,0.002,
,,,E1124,,E1295,,,,0.003,
,,,E1155,,E478,,,,0.005,
,,,E1068,,E1373,,,,0.005,
,,,E1260,,E414,,,,0.005,
,,,E696,,E821,,,,0.003,
,,,E1119,,E348,,,,0.001,
,,,E491,,E608,,,,0.008,
,,,E707,,E946,,,,0.003,
,,,E1209,,E957,,,,0.006,
,,,E562,,E650,,,,0.002,
,,,E1215,,E865,,,,0.001,
,,,E1343,,E559,,,,0.005,
,,,E1230,,E537,,,,0.006,
,,,E836,,E875,,,,0.009,
,,,E386,,E999,,,,0.009,
,,,E396,,E676,,,,0.007,
,,,E1057,,E1082,,,,0.001,
,,,E750,,E773,,,,0.006,
,,,E1097,,E418,,,,0.009,
,,,E773,,E813,,,,0.007,
,,,E534,,E883,,,,0.003,
,,,E663,,E881,,,,0.008,
,,,E540,,E614,,,,0.008,
,,,E1014,,E563,,,,0.003,
,,,E1049,,E684,,,,0.002,
,,,E1228,,E559,,,,0.007,
,,,E916,,E962,,,,0.001,
,,,E1124,,E715,,,,0.001,
,,,E1310,,E452,,,,0.005,
,,,E374,,E459,,,,0.009,
,,,E535,,E842,,,,0.004,
