i,i,i,i,i,i,i
147,TESTA01,TESTA01-147,C03-X02,C05-X03,2.00E-06,
148,TESTA01,TESTA01-148,B02-X02,T506-X01,2.00E-06,
149,TESTA01,TESTA01-149,B02-X02,T506-X02,2.00E-06,
150,TESTA01,TESTA01-150,B02-X02,T506-X03,2.00E-06,
151,TESTA01,TESTA01-151,B02-X02,C05-X03,2.00E-06,
152,TESTA01,TESTA01-152,B01-X01,C03-X01,2.00E-06,
153,TESTA01,TESTA01-153,B02-X03,C02-X07,2.00E-06,
154,TESTA01,TESTA01-154,T203-X02,T402-X01,2.00E-06,
155,TESTA01,TESTA01-155,C03-X03,T507-X01,2.00E-06,
156,TESTA01,TESTA01-156,T253-X02,C05-X02,2.00E-06,
157,TESTA01,TESTA01-157,T402-X01,C04-X05,2.00E-06,
158,TESTA01,TESTA01-158,F03-X02,D01-X03,2.00E-06,
159,TESTA01,TESTA01-159,C04-X03,T255-X02,2.00E-06,
160,TESTA01,TESTA01-160,B02-X03,T301-X02,2.00E-06,
161,TESTA01,TESTA01-161,T506-X03,C06-X04,2.00E-06,
162,TESTA01,TESTA01-162,T255-X01,T252-X02,2.00E-06,
163,TESTA01,TESTA01-163,C05-X01,C04-X01,2.00E-06,
164,TESTA01,TESTA01-164,T204-X01,C03-X04,2.00E-06,
165,TESTA01,TESTA01-165,T503-X01,D01-X01,2.00E-06,
166,TESTA01,TESTA01-166,T301-X03,C02-X08,2.00E-06,
167,TESTA01,TESTA01-167,T252-X03,T254-X02,2.00E-06,
168,TESTA01,TESTA01-168,C02-X01,T203-X09,2.00E-06,
169,TESTA01,TESTA01-169,D01-X02,B02-X01,2.00E-06,
170,TESTA01,TESTA01-170,C06-X02,T507-X01,2.00E-06,
171,TESTA01,TESTA01-171,T401-X01,T301-X01,2.00E-06,
172,TESTA01,TESTA01-172,B02-X02,C05-X01,2.00E-06,
173,TESTA01,TESTA01-173,T506-X02,C07-X01,2.00E-06,
174,TESTA01,TESTA01-174,C04-X04,T256-X02,2.00E-06,
175,TESTA01,TESTA01-175,T254-X03,C03-X02,2.00E-06,
176,TESTA01,TESTA01-176,T505-X01,D02-X10,2.00E-06,
177,TESTA01,TESTA01-177,T507-X05,C05-X03,2.00E-06,
178,TESTA01,TESTA01-178,C03-X04,C06-X03,2.00E-06,
179,TESTA01,TESTA01-179,T202-X03,T251-X01,2.00E-06,
180,TESTA01,TESTA01-180,T256-X03,B02-X03,2.00E-06,
181,TESTA01,TESTA01-181,C02-X03,T401-X01,2.00E-06,
182,TESTA01,TESTA01-182,T503-X02,C04-X02,2.00E-06,
183,TESTA01,TESTA01-183,T252-X01,C06-X01,2.00E-06,
184,TESTA01,TESTA01-184,B01-X02,T255-X01,2.00E-06,
185,TESTA01,TESTA01-185,C05-X03,C03-X03,2.00E-06,
186,TESTA01,TESTA01-186,T203-X09,F03-X02,2.00E-06,
187,TESTA01,TESTA01-187,T501-X05G,C04-X03,2.00E-06,
188,TESTA01,TESTA01-188,T301-X02,T253-X03,2.00E-06,
189,TESTA01,TESTA01-189,C06-X01,T507-X05,2.00E-06,
190,TESTA01,TESTA01-190,D02-X10,B01-X02,2.00E-06,
191,TESTA01,TESTA01-191,T255-X02,C02-X02,2.00E-06,
192,TESTA01,TESTA01-192,C07-X01,T254-X01,2.00E-06,
193,TESTA01,TESTA01-193,T251-X03,C05-X03,2.00E-06,
194,TESTA01,TESTA01-194,C04-X05,T256-X01,2.00E-06,
195,TESTA01,TESTA01-195,T256-X01,D01-X02,2.00E-06,
196,TESTA01,TESTA01-196,T202-X02,C03-X04,2.00E-06,
197,TESTA01,TESTA01-197,C02-X07,T203-X02,2.00E-06,
198,TESTA01,TESTA01-198,T253-X01,C05-X01,2.00E-06,
199,TESTA01,TESTA01-199,T301-X01,T252-X03,2.00E-06,
200,TESTA01,TESTA01-200,C06-X03,B02-X02,2.00E-06,
201,TESTA01,TESTA01-201,T252-X02,C04-X04,2.00E-06,
202,TESTA01,TESTA01-202,T254-X02,T503-X01,2.00E-06,
203,TESTA01,TESTA01-203,C04-X02,D01-X03,0.000002,
204,TESTA01,TESTA01-204,T255-X01,C06-X04,0.000002,
205,TESTA01,TESTA01-205,B02-X01,C03-X02,0.000002,
206,TESTA01,TESTA01-206,C05-X02,T507-X05,0.000002,
207,TESTA01,TESTA01-207,C03-X02,T301-X03,0.000002,
208,TESTA01,TESTA01-208,T203-X03,C02-X01,0.000002,
209,TESTA01,TESTA01-209,T507-X05,C04-X05,0.000002,
210,TESTA01,TESTA01-210,C06-X04,T252-X01,0.000002,
211,TESTA01,TESTA01-211,D01-X01,T255-X02,0.000002,
212,TESTA01,TESTA01-212,T502-X06G,T301-X02,0.000002,
213,TESTA01,TESTA01-213,T251-X01,B02-X03,0.000002,
214,TESTA01,TESTA01-214,T301-X03,T253-X01,0.000002,
215,TESTA01,TESTA01-215,C02-X08,C06-X03,0.000002,
216,TESTA01,TESTA01-216,T252-X03,T254-X03,0.000002,
217,TESTA01,TESTA01-217,C03-X03,C05-X02,0.000002,
218,TESTA01,TESTA01-218,T505-X01,C04-X02,0.000002,
219,TESTA01,TESTA01-219,T507-X01,D01-X01,0.000002,
220,TESTA01,TESTA01-220,C05-X03,T256-X03,0.000002,
221,TESTA01,TESTA01-221,T256-X03,C06-X01,0.000002,
222,TESTA01,TESTA01-222,T203-X09,T402-X01,0.000002,
223,TESTA01,TESTA01-223,C06-X02,T507-X05,0.000002,
224,TESTA01,TESTA01-224,T402-X01,C04-X04,0.000002,
225,TESTA01,TESTA01-225,C04-X03,T255-X01,0.000002,
226,TESTA01,TESTA01-226,B02-X03,C03-X04,0.000002,
227,TESTA01,TESTA01-227,T253-X02,C05-X03,0.000002,
228,TESTA01,TESTA01-228,T301-X02,T252-X02,0.000002,
229,TESTA01,TESTA01-229,C02-X07,D01-X02,0.000002,
230,TESTA01,TESTA01-230,T255-X02,C06-X04,0.000002,
231,TESTA01,TESTA01-231,C07-X01,B02-X01,0.000002,
232,TESTA01,TESTA01-232,T252-X01,C04-X01,0.000002,
233,TESTA01,TESTA01-233,T507-X05,C05-X01,0.000002,
234,TESTA01,TESTA01-234,C03-X04,T301-X01,0.000002,
235,TESTA01,TESTA01-235,T203-X02,C02-X03,0.000002,
236,TESTA01,TESTA01-236,T254-X03,T503-X02,0.000002,
237,TESTA01,TESTA01-237,C05-X01,T256-X02,0.000002,
238,TESTA01,TESTA01-238,T256-X01,C07-X01,0.000002,
239,TESTA01,TESTA01-239,D01-X03,B02-X02,0.000002,
240,TESTA01,TESTA01-240,C04-X05,T255-X03,0.000002,
241,TESTA01,TESTA01-241,T301-X01,T253-X03,0.000002,
242,TESTA01,TESTA01-242,C06-X03,C03-X02,0.000002,
243,TESTA01,TESTA01-243,T252-X03,T254-X01,0.000002,
244,TESTA01,TESTA01-244,T254-X02,C04-X05,0.000002,
245,TESTA01,TESTA01-245,T507-X03,C03-X05,0.000002,
246,TESTA01,TESTA01-246,B02-X04,T256-X03,0.000002,
