t,t,t,t,t
70,TESTA01,M44,T254-X03,430
71,TESTA01,M12,F01-X01,370
72,TESTA01,M12,F01-X03,340
73,TESTA01,M28,T503-X01,380
74,TESTA01,M20,M21,220
75,TESTA01,M18,M17,3950
76,TESTA01,M20,M19,3800
77,TESTA01,T256-X03,M108,450
78,TESTA01,M49,M50,150
79,TESTA01,M74,C04-X01,440
80,TESTA01,M122,M123,220
81,TESTA01,M123,T507-X01,430
82,TESTA01,M103,C07-X01,440
83,TESTA01,T252-X03,M50,430
84,TESTA01,M81,B02-X13,620
85,TESTA01,M2,T403-X01,430
86,TESTA01,M79,T255-X03,390
87,TESTA01,T507-X03,M124,280
88,TESTA01,M118,C03-X05,270
89,TESTA01,B02-X04,M81,500
90,TESTA01,M124,T507-X01,340
91,TESTA01,M45,T254-X01,660
92,TESTA01,M73,M72,30
93,TESTA01,M60,M61,30
94,TESTA01,M10,M9,30
95,TESTA01,M19,M51,30
96,TESTA01,M17,M16,30
97,TESTA01,M113,M112,30
98,TESTA01,M89,M88,30
99,TESTA01,M59,M58,30
100,TESTA01,M120,M119,30
101,TESTA01,M115,M114,30
102,TESTA01,M118,M117,30
103,TESTA01,M116,M117,30
104,TESTA01,M38,M37,30
105,TESTA01,M31,M30,30
106,TESTA01,M25,M24,30
107,TESTA01,T204-X01,M8,430
108,TESTA01,M9,M8,600
109,TESTA01,M67,M9,610
110,TESTA01,M66,M67,1160
111,TESTA01,M65,M66,1430
112,TESTA01,M65,M64,160
113,TESTA01,M63,M64,640
114,TESTA01,M61,M62,550
115,TESTA01,M101,M61,450
116,TESTA01,M100,M101,180
117,TESTA01,M95,M100,3440
118,TESTA01,M97,M96,170
119,TESTA01,M7,M8,1190
120,TESTA01,M6,M7,1020
121,TESTA01,M5,M6,1050
122,TESTA01,M4,M5,1420
123,TESTA01,M3,M4,1450
124,TESTA01,M126,M3,1120
125,TESTA01,M60,M90,340
126,TESTA01,M88,M90,150
127,TESTA01,M87,M88,100
128,TESTA01,T203-X01,M87,480
129,TESTA01,M56,M65,330
130,TESTA01,M57,M56,220
131,TESTA01,M58,M57,80
132,TESTA01,M21,M7,1040
133,TESTA01,M22,M21,1380
134,TESTA01,M111,M22,710
135,TESTA01,M110,M111,740
136,TESTA01,M109,M110,1400
137,TESTA01,M112,M109,2360
138,TESTA01,M126,T202-X01,490
139,TESTA01,T506-X02,M57,310
140,TESTA01,M122,M121,130
141,TESTA01,M6,M121,450
142,TESTA01,M114,M112,440
143,TESTA01,M116,M114,110
144,TESTA01,M2,M1,180
145,TESTA01,M3,M2,1110
146,TESTA01,M119,M121,610
147,TESTA01,M41,T253-X01,690
148,TESTA01,M40,M41,2170
149,TESTA01,M39,M40,1240
150,TESTA01,M36,M37,60
151,TESTA01,M125,M36,610
152,TESTA01,M6,M125,1100
153,TESTA01,M16,M119,1430
154,TESTA01,M15,M16,940
155,TESTA01,T505-X01,M15,2110
156,TESTA01,M35,M4,570
157,TESTA01,M36,M35,480
158,TESTA01,M46,M39,2030
159,TESTA01,M46,M47,520
160,TESTA01,M26,M27,260
161,TESTA01,M35,M26,550
162,TESTA01,M94,M1,770
163,TESTA01,M93,M94,1200
164,TESTA01,M98,M93,1110
165,TESTA01,M100,M99,1050
166,TESTA01,M102,M101,540
167,TESTA01,M104,M103,1540
168,TESTA01,M14,M15,410
169,TESTA01,M55,M14,2360
170,TESTA01,M54,M55,1320
171,TESTA01,M54,M53,180
172,TESTA01,M105,M53,390
173,TESTA01,M105,M102,1150
174,TESTA01,M94,M95,790
175,TESTA01,T253-X02,M42,730
176,TESTA01,M24,M26,970
177,TESTA01,M33,M110,1870
178,TESTA01,M34,M33,890
179,TESTA01,M80,M5,1140
180,TESTA01,M72,M80,340
181,TESTA01,M71,M72,410
182,TESTA01,M71,M70,700
183,TESTA01,M69,M70,290
184,TESTA01,F03-X01,M69,340
185,TESTA01,M68,M69,120
186,TESTA01,M66,M68,1690
187,TESTA01,M77,M73,440
188,TESTA01,M75,M77,1420
189,TESTA01,F03-X02,M68,350
190,TESTA01,M29,M26,510
191,TESTA01,M30,M29,740
192,TESTA01,M75,M74,140
193,TESTA01,M86,M99,670
194,TESTA01,M85,M86,450
195,TESTA01,M84,M85,760
196,TESTA01,T401-X01,M84,600
197,TESTA01,M93,M92,1140
198,TESTA01,T251-X01,M47,530
199,TESTA01,M40,M43,200
200,TESTA01,M86,M87,410
201,TESTA01,M91,M84,1070
202,TESTA01,M71,M91,2340
203,TESTA01,M81,M80,460
204,TESTA01,M83,B02-X01,610
205,TESTA01,M55,M56,710
206,TESTA01,M52,M53,150
207,TESTA01,M51,M52,2160
208,TESTA01,M109,M51,200
209,TESTA01,M91,M92,1090
210,TESTA01,M78,M77,780
211,TESTA01,M79,M78,310
212,TESTA01,M79,T255-X02,810
213,TESTA01,T255-X01,M78,760
214,TESTA01,M107,T301-X03,820
215,TESTA01,T203-X09,M90,350
216,TESTA01,M11,M12,230
217,TESTA01,M27,M28,140
218,TESTA01,M17,M20,290
219,TESTA01,M18,M19,360
220,TESTA01,D02-X10,M18,770
221,TESTA01,M49,T252-X01,830
222,TESTA01,M46,M49,2360
223,TESTA01,M64,M84,880
224,TESTA01,M11,M14,410
225,TESTA01,M108,M52,220
226,TESTA01,M50,T252-X02,660
227,TESTA01,M23,M22,1250
228,TESTA01,M24,M23,990
229,TESTA01,M28,M29,170
230,TESTA01,M32,M30,650
231,TESTA01,M32,M33,150
232,TESTA01,M63,M58,470
233,TESTA01,M105,T256-X02,440
234,TESTA01,T501-X05G,M125,1220
235,TESTA01,T502-X06G,M111,570
236,TESTA01,T251-X02,M48,530
237,TESTA01,M124,M123,110
238,TESTA01,M108,T256-X01,700
239,TESTA01,M62,M85,1050
240,TESTA01,M70,M10,1400
241,TESTA01,M60,M54,1060
242,TESTA01,M32,M23,490
243,TESTA01,M117,M1,1040
244,TESTA01,M39,M37,900
