t,t,t,t,t,t,t
55,TESTA01,TESTA01-55,T253-X02,T505-X01,2.00E-06,1.0
56,TESTA01,TESTA01-56,T253-X03,T505-X01,2.00E-06,1.0
57,TESTA01,TESTA01-57,T505-X01,B01-X01,2.00E-06,1.0
58,TESTA01,TESTA01-58,T203-X01,T507-X05,2.00E-06,1.0
59,TESTA01,TESTA01-59,T507-X05,T204-X01,2.00E-06,1.0
60,TESTA01,TESTA01-60,C01-X01,C02-X06,2.00E-06,1.0
61,TESTA01,TESTA01-61,C01-X01,C02-X07,2.00E-06,1.0
62,TESTA01,TESTA01-62,C01-X01,C02-X08,2.00E-06,1.0
63,TESTA01,TESTA01-63,C01-X01,T251-X03,2.00E-06,1.0
64,TESTA01,TESTA01-64,C01-X01,T252-X03,2.00E-06,1.0
65,TESTA01,TESTA01-65,C01-X01,T253-X03,2.00E-06,1.0
66,TESTA01,TESTA01-66,C02-X06,B02-X01,2.00E-06,1.0
67,TESTA01,TESTA01-67,C02-X06,B02-X02,2.00E-06,1.0
68,TESTA01,TESTA01-68,C02-X06,B02-X03,2.00E-06,1.0
69,TESTA01,TESTA01-69,T254-X01,B02-X13,2.00E-06,1.0
70,TESTA01,TESTA01-70,T254-X01,T501-X05G,2.00E-06,1.0
71,TESTA01,TESTA01-71,T254-X01,T502-X06G,2.00E-06,1.0
72,TESTA01,TESTA01-72,T254-X01,T503-X01,2.00E-06,1.0
73,TESTA01,TESTA01-73,T254-X01,T201-X01,2.00E-06,1.0
74,TESTA01,TESTA01-74,T254-X01,T202-X01,3.00E-06,1.0
75,TESTA01,TESTA01-75,T254-X01,T202-X02,3.00E-06,1.0
76,TESTA01,TESTA01-76,T254-X01,T203-X01,3.00E-06,1.0
77,TESTA01,TESTA01-77,T254-X01,T203-X02,3.00E-06,1.0
78,TESTA01,TESTA01-78,T254-X01,T401-X01,3.00E-06,1.0
79,TESTA01,TESTA01-79,T503-X01,B01-X01,3.00E-06,1.0
80,TESTA01,TESTA01-80,T501-X05G,B01-X01,3.00E-06,1.0
81,TESTA01,TESTA01-81,T502-X06G,B01-X01,3.00E-06,1.0
82,TESTA01,TESTA01-82,T201-X01,T402-X01,3.00E-06,1.0
83,TESTA01,TESTA01-83,T202-X01,T403-X01,3.00E-06,1.0
84,TESTA01,TESTA01-84,T202-X01,T251-X02,3.00E-06,1.0
85,TESTA01,TESTA01-85,T202-X01,T251-X03,3.00E-06,1.0
86,TESTA01,TESTA01-86,T202-X01,T252-X01,3.00E-06,1.0
87,TESTA01,TESTA01-87,T202-X01,T252-X02,3.00E-06,1.0
88,TESTA01,TESTA01-88,T202-X01,T253-X01,3.00E-06,1.0
89,TESTA01,TESTA01-89,T202-X01,T253-X02,3.00E-06,1.0
90,TESTA01,TESTA01-90,T402-X01,T254-X01,3.00E-06,1.0
91,TESTA01,TESTA01-91,T402-X01,T254-X02,3.00E-06,1.0
92,TESTA01,TESTA01-92,T402-X01,T255-X01,3.00E-06,1.0
93,TESTA01,TESTA01-93,T402-X01,T255-X02,3.00E-06,1.0
94,TESTA01,TESTA01-94,T402-X01,T301-X01,3.00E-06,1.0
95,TESTA01,TESTA01-95,T402-X01,T301-X02,3.00E-06,1.0
96,TESTA01,TESTA01-96,T402-X01,T301-X03,3.00E-06,1.0
97,TESTA01,TESTA01-97,T402-X01,B01-X01,3.00E-06,1.0
98,TESTA01,TESTA01-98,T402-X01,B01-X02,3.00E-06,1.0
99,TESTA01,TESTA01-99,B01-X01,B02-X01,3.00E-06,1.0
100,TESTA01,TESTA01-100,B01-X01,B02-X02,3.00E-06,1.0
101,TESTA01,TESTA01-101,B01-X01,B02-X03,3.00E-06,1.0
102,TESTA01,TESTA01-102,B01-X01,T401-X01,3.00E-06,1.0
103,TESTA01,TESTA01-103,T204-X06,C01-X02,3.00E-06,1.0
104,TESTA01,TESTA01-104,T204-X06,C01-X03,3.00E-06,1.0
105,TESTA01,TESTA01-105,B01-X01,C01-X04,3.00E-06,1.0
106,TESTA01,TESTA01-106,C01-X04,C02-X01,3.00E-06,1.0
107,TESTA01,TESTA01-107,C01-X04,C02-X02,3.00E-06,1.0
108,TESTA01,TESTA01-108,C01-X04,C02-X03,3.00E-06,1.0
109,TESTA01,TESTA01-109,C01-X04,T203-X09,1.00E-06,1.0
110,TESTA01,TESTA01-110,C01-X04,T401-X01,1.00E-06,1.0
111,TESTA01,TESTA01-111,C01-X04,T251-X01,1.00E-06,1.0
112,TESTA01,TESTA01-112,C01-X04,C03-X01,1.00E-06,1.0
113,TESTA01,TESTA01-113,C01-X04,C03-X02,1.00E-06,1.0
114,TESTA01,TESTA01-114,C01-X04,C03-X03,1.00E-06,1.0
115,TESTA01,TESTA01-115,C01-X04,C03-X04,1.00E-06,1.0
116,TESTA01,TESTA01-116,C03-X01,C04-X01,1.00E-06,1.0
117,TESTA01,TESTA01-117,C03-X01,C04-X02,1.00E-06,1.0
118,TESTA01,TESTA01-118,C03-X01,C04-X03,1.00E-06,1.0
119,TESTA01,TESTA01-119,C03-X01,C04-X04,1.00E-06,1.0
120,TESTA01,TESTA01-120,C03-X01,C04-X05,1.00E-06,1.0
121,TESTA01,TESTA01-121,C03-X01,C05-X01,1.00E-06,1.0
122,TESTA01,TESTA01-122,C03-X01,C05-X02,1.00E-06,1.0
123,TESTA01,TESTA01-123,C03-X01,C05-X03,1.00E-06,1.0
124,TESTA01,TESTA01-124,C03-X01,C06-X01,1.00E-06,1.0
125,TESTA01,TESTA01-125,C03-X01,C06-X02,1.00E-06,1.0
126,TESTA01,TESTA01-126,C03-X01,C06-X03,1.00E-06,1.0
127,TESTA01,TESTA01-127,C03-X01,C06-X04,1.00E-06,1.0
128,TESTA01,TESTA01-128,C03-X01,D01-X01,1.00E-06,1.0
129,TESTA01,TESTA01-129,C03-X01,D01-X02,1.00E-06,1.0
130,TESTA01,TESTA01-130,C03-X01,D01-X03,1.00E-06,1.0
131,TESTA01,TESTA01-131,C03-X01,F03-X01,1.00E-06,1.0
132,TESTA01,TESTA01-132,C03-X01,F03-X02,1.00E-06,1.0
133,TESTA01,TESTA01-133,F03-X01,T506-X01,1.00E-06,1.0
134,TESTA01,TESTA01-134,F03-X01,T506-X02,1.00E-06,1.0
135,TESTA01,TESTA01-135,F03-X01,T506-X03,1.00E-06,1.0
136,TESTA01,TESTA01-136,F03-X01,T507-X01,1.00E-06,1.0
137,TESTA01,TESTA01-137,T507-X01,T256-X01,1.00E-06,1.0
138,TESTA01,TESTA01-138,T507-X01,T256-X02,1.00E-06,1.0
139,TESTA01,TESTA01-139,T507-X01,T256-X03,1.00E-06,1.0
140,TESTA01,TESTA01-140,T507-X01,D02-X10,1.00E-06,1.0
141,TESTA01,TESTA01-141,T507-X01,C07-X01,1.00E-06,1.0
142,TESTA01,TESTA01-142,T507-X01,C04-X04,1.00E-06,1.0
143,TESTA01,TESTA01-143,T507-X01,C04-X05,1.00E-06,1.0
144,TESTA01,TESTA01-144,C03-X02,T506-X01,1.00E-06,1.0
145,TESTA01,TESTA01-145,C03-X02,T506-X02,2.00E-06,1.0
146,TESTA01,TESTA01-146,C03-X02,T506-X03,2.00E-06,1.0
147,TESTA01,TESTA01-147,C03-X02,C05-X03,2.00E-06,1.0
148,TESTA01,TESTA01-148,B02-X02,T506-X01,2.00E-06,1.0
149,TESTA01,TESTA01-149,B02-X02,T506-X02,2.00E-06,1.0
150,TESTA01,TESTA01-150,B02-X02,T506-X03,2.00E-06,1.0
151,TESTA01,TESTA01-151,B02-X02,C05-X03,2.00E-06,1.0
152,TESTA01,TESTA01-152,B01-X01,C03-X01,2.00E-06,1.0
153,TESTA01,TESTA01-153,B02-X03,C02-X07,2.00E-06,1.0
154,TESTA01,TESTA01-154,T203-X02,T402-X01,2.00E-06,1.0
155,TESTA01,TESTA01-155,C03-X03,T507-X01,2.00E-06,1.0
156,TESTA01,TESTA01-156,T253-X02,C05-X02,2.00E-06,1.0
157,TESTA01,TESTA01-157,T402-X01,C04-X05,2.00E-06,1.0
158,TESTA01,TESTA01-158,F03-X02,D01-X03,2.00E-06,1.0
159,TESTA01,TESTA01-159,C04-X03,T255-X02,2.00E-06,1.0
160,TESTA01,TESTA01-160,B02-X03,T301-X02,2.00E-06,1.0
161,TESTA01,TESTA01-161,T506-X03,C06-X04,2.00E-06,1.0
162,TESTA01,TESTA01-162,T255-X01,T252-X02,2.00E-06,1.0
163,TESTA01,TESTA01-163,C05-X01,C04-X01,2.00E-06,1.0
164,TESTA01,TESTA01-164,T204-X01,C03-X04,2.00E-06,1.0
165,TESTA01,TESTA01-165,T503-X01,D01-X01,2.00E-06,1.0
166,TESTA01,TESTA01-166,T301-X03,C02-X08,2.00E-06,1.0
167,TESTA01,TESTA01-167,T252-X03,T254-X02,2.00E-06,1.0
168,TESTA01,TESTA01-168,C02-X01,T203-X09,2.00E-06,1.0
169,TESTA01,TESTA01-169,D01-X02,B02-X01,2.00E-06,1.0
170,TESTA01,TESTA01-170,C06-X02,T507-X01,2.00E-06,1.0
171,TESTA01,TESTA01-171,T401-X01,T301-X01,2.00E-06,1.0
172,TESTA01,TESTA01-172,B02-X02,C05-X01,2.00E-06,1.0
173,TESTA01,TESTA01-173,T506-X02,C07-X01,2.00E-06,1.0
174,TESTA01,TESTA01-174,C04-X04,T256-X02,2.00E-06,1.0
175,TESTA01,TESTA01-175,T254-X03,C03-X02,2.00E-06,1.0
176,TESTA01,TESTA01-176,T505-X01,D02-X10,2.00E-06,1.0
177,TESTA01,TESTA01-177,T507-X05,C05-X03,2.00E-06,1.0
178,TESTA01,TESTA01-178,C03-X04,C06-X03,2.00E-06,1.0
179,TESTA01,TESTA01-179,T202-X03,T251-X01,2.00E-06,1.0
180,TESTA01,TESTA01-180,T256-X03,B02-X03,2.00E-06,1.0
181,TESTA01,TESTA01-181,C02-X03,T401-X01,2.00E-06,1.0
182,TESTA01,TESTA01-182,T503-X02,C04-X02,2.00E-06,1.0
183,TESTA01,TESTA01-183,T252-X01,C06-X01,2.00E-06,1.0
184,TESTA01,TESTA01-184,B01-X02,T255-X01,2.00E-06,1.0
185,TESTA01,TESTA01-185,C05-X03,C03-X03,2.00E-06,1.0
186,TESTA01,TESTA01-186,T203-X09,F03-X02,2.00E-06,1.0
187,TESTA01,TESTA01-187,T501-X05G,C04-X03,2.00E-06,1.0
188,TESTA01,TESTA01-188,T301-X02,T253-X03,2.00E-06,1.0
189,TESTA01,TESTA01-189,C06-X01,T507-X05,2.00E-06,1.0
190,TESTA01,TESTA01-190,D02-X10,B01-X02,2.00E-06,1.0
191,TESTA01,TESTA01-191,T255-X02,C02-X02,2.00E-06,1.0
192,TESTA01,TESTA01-192,C07-X01,T254-X01,2.00E-06,1.0
193,TESTA01,TESTA01-193,T251-X03,C05-X03,2.00E-06,1.0
194,TESTA01,TESTA01-194,C04-X05,T256-X01,2.00E-06,1.0
195,TESTA01,TESTA01-195,T256-X01,D01-X02,2.00E-06,1.0
196,TESTA01,TESTA01-196,T202-X02,C03-X04,2.00E-06,1.0
197,TESTA01,TESTA01-197,C02-X07,T203-X02,2.00E-06,1.0
198,TESTA01,TESTA01-198,T253-X01,C05-X01,2.00E-06,1.0
199,TESTA01,TESTA01-199,T301-X01,T252-X03,2.00E-06,1.0
200,TESTA01,TESTA01-200,C06-X03,B02-X02,2.00E-06,1.0
201,TESTA01,TESTA01-201,T252-X02,C04-X04,2.00E-06,1.0
202,TESTA01,TESTA01-202,T254-X02,T503-X01,2.00E-06,1.0
203,TESTA01,TESTA01-203,C04-X02,D01-X03,2.00E-06,1.0
204,TESTA01,TESTA01-204,T255-X01,C06-X04,2.00E-06,1.0
205,TESTA01,TESTA01-205,B02-X01,C03-X02,2.00E-06,1.0
206,TESTA01,TESTA01-206,C05-X02,T507-X05,2.00E-06,1.0
207,TESTA01,TESTA01-207,C03-X02,T301-X03,2.00E-06,1.0
208,TESTA01,TESTA01-208,T203-X03,C02-X01,2.00E-06,1.0
209,TESTA01,TESTA01-209,T507-X05,C04-X05,2.00E-06,1.0
210,TESTA01,TESTA01-210,C06-X04,T252-X01,2.00E-06,1.0
211,TESTA01,TESTA01-211,D01-X01,T255-X02,2.00E-06,1.0
212,TESTA01,TESTA01-212,T502-X06G,T301-X02,2.00E-06,1.0
213,TESTA01,TESTA01-213,T251-X01,B02-X03,2.00E-06,1.0
214,TESTA01,TESTA01-214,T301-X03,T253-X01,2.00E-06,1.0
215,TESTA01,TESTA01-215,C02-X08,C06-X03,2.00E-06,1.0
216,TESTA01,TESTA01-216,T252-X03,T254-X03,2.00E-06,1.0
217,TESTA01,TESTA01-217,C03-X03,C05-X02,2.00E-06,1.0
218,TESTA01,TESTA01-218,T505-X01,C04-X02,2.00E-06,1.0
219,TESTA01,TESTA01-219,T507-X01,D01-X01,2.00E-06,1.0
220,TESTA01,TESTA01-220,C05-X03,T256-X03,2.00E-06,1.0
221,TESTA01,TESTA01-221,T256-X03,C06-X01,2.00E-06,1.0
222,TESTA01,TESTA01-222,T203-X09,T402-X01,2.00E-06,1.0
223,TESTA01,TESTA01-223,C06-X02,T507-X05,2.00E-06,1.0
224,TESTA01,TESTA01-224,T402-X01,C04-X04,2.00E-06,1.0
225,TESTA01,TESTA01-225,C04-X03,T255-X01,2.00E-06,1.0
226,TESTA01,TESTA01-226,B02-X03,C03-X04,2.00E-06,1.0
227,TESTA01,TESTA01-227,T253-X02,C05-X03,2.00E-06,1.0
228,TESTA01,TESTA01-228,T301-X02,T252-X02,2.00E-06,1.0
229,TESTA01,TESTA01-229,C02-X07,D01-X02,2.00E-06,1.0
230,TESTA01,TESTA01-230,T255-X02,C06-X04,2.00E-06,1.0
231,TESTA01,TESTA01-231,C07-X01,B02-X01,2.00E-06,1.0
232,TESTA01,TESTA01-232,T252-X01,C04-X01,2.00E-06,1.0
233,TESTA01,TESTA01-233,T507-X05,C05-X01,2.00E-06,1.0
234,TESTA01,TESTA01-234,C03-X04,T301-X01,2.00E-06,1.0
235,TESTA01,TESTA01-235,T203-X02,C02-X03,2.00E-06,1.0
236,TESTA01,TESTA01-236,T254-X03,T503-X02,2.00E-06,1.0
237,TESTA01,TESTA01-237,C05-X01,T256-X02,2.00E-06,1.0
238,TESTA01,TESTA01-238,T256-X01,C07-X01,2.00E-06,1.0
239,TESTA01,TESTA01-239,D01-X03,B02-X02,2.00E-06,1.0
240,TESTA01,TESTA01-240,C04-X05,T255-X03,2.00E-06,1.0
241,TESTA01,TESTA01-241,T301-X01,T253-X03,2.00E-06,1.0
242,TESTA01,TESTA01-242,C06-X03,C03-X02,2.00E-06,1.0
243,TESTA01,TESTA01-243,T252-X03,T254-X01,2.00E-06,1.0
244,TESTA01,TESTA01-244,T254-X02,C04-X05,2.00E-06,1.0
245,TESTA01,TESTA01-245,T507-X03,C03-X05,2.00E-06,1.0
246,TESTA01,TESTA01-246,B02-X04,T256-X03,2.00E-06,1.0
