i,i,i,i,i
85,TESTJK01,N47,N52,320.3
86,TESTJK01,N45,N53,166.341
87,TESTJK01,N42,N18,467.436
88,TESTJK01,N54,N55,404.526
89,TESTJK01,N56,N57,65
90,TESTJK01,N58,N59,242.813
91,TESTJK01,N59,N60,209.26
92,TESTJK01,N60,N257,171.067
93,TESTJK01,N257,N61,182.478
94,TESTJK01,N61,N62,221.455
95,TESTJK01,N62,N63,11.4939
96,TESTJK01,N64,N65,153.443
97,TESTJK01,N65,N58,508.501
98,TESTJK01,N58,N66,158.056
99,TESTJK01,N65,N67,295.959
100,TESTJK01,N67,N68,187.58
101,TESTJK01,N68,N69,35.7024
102,TESTJK01,N69,N70,300.189
103,TESTJK01,N70,N71,219.136
104,TESTJK01,N67,N72,253.501
105,TESTJK01,N59,N73,67.861
106,TESTJK01,N73,N74,253.501
107,TESTJK01,N61,N75,253.501
108,TESTJK01,N70,N76,278.027
109,TESTJK01,N77,N78,412.072
110,TESTJK01,N79,N80,124.041
111,TESTJK01,N80,N81,83.0202
112,TESTJK01,N81,N82,114.655
113,TESTJK01,N82,N83,112.033
114,TESTJK01,N80,N84,76.028
115,TESTJK01,N82,N85,76.028
116,TESTJK01,N81,N86,292.297
117,TESTJK01,N86,N87,104.261
118,TESTJK01,N87,N88,194.498
119,TESTJK01,N87,N89,53.2309
120,TESTJK01,N86,N90,207.061
121,TESTJK01,N90,N91,65
122,TESTJK01,N91,N68,153.443
123,TESTJK01,N92,N93,70.0736
124,TESTJK01,N93,N91,375
125,TESTJK01,N94,N95,36.1056
126,TESTJK01,N95,N96,375
127,TESTJK01,N97,N98,65
128,TESTJK01,N99,N98,350
129,TESTJK01,N98,N95,181.77
130,TESTJK01,N100,N101,181.45
131,TESTJK01,N101,N97,350
132,TESTJK01,N97,N93,31.2848
133,TESTJK01,N102,N103,240.987
134,TESTJK01,N103,N90,381.466
135,TESTJK01,N90,N96,150.304
136,TESTJK01,N96,N79,141.993
137,TESTJK01,N79,N78,180.46
138,TESTJK01,N101,N99,65.0007
139,TESTJK01,N99,N103,375
140,TESTJK01,N100,N104,375.458
141,TESTJK01,N104,N64,79.3772
142,TESTJK01,N91,N105,517.363
143,TESTJK01,N106,N107,181.36
144,TESTJK01,N107,N108,465.483
145,TESTJK01,N57,N108,166.381
146,TESTJK01,N108,N66,41.1387
147,TESTJK01,N109,N110,65
148,TESTJK01,N110,N111,797.5
149,TESTJK01,N111,N112,41.8381
150,TESTJK01,N112,N113,98.2085
151,TESTJK01,N112,N114,494.564
152,TESTJK01,N111,N60,158.056
153,TESTJK01,N115,N116,65
154,TESTJK01,N116,N106,332.017
155,TESTJK01,N117,N118,65
156,TESTJK01,N110,N118,350
157,TESTJK01,N118,N116,325
158,TESTJK01,N119,N120,797.5
159,TESTJK01,N119,N55,56.2892
160,TESTJK01,N55,N56,166.381
161,TESTJK01,N56,N258,75.4072
162,TESTJK01,N109,N117,350
163,TESTJK01,N117,N120,86.9222
164,TESTJK01,N120,N115,238.078
165,TESTJK01,N121,N122,232.257
166,TESTJK01,N114,N123,478.09
167,TESTJK01,N123,N124,56.9039
168,TESTJK01,N109,N125,213.159
169,TESTJK01,N125,N126,323.763
170,TESTJK01,N126,N122,435.536
171,TESTJK01,N127,N259,337.679
172,TESTJK01,N259,N128,125
173,TESTJK01,N128,N129,545.944
174,TESTJK01,N129,N130,296.046
175,TESTJK01,N130,N131,307.079
176,TESTJK01,N131,N132,512.594
177,TESTJK01,N133,N134,70
178,TESTJK01,N134,N128,140.088
179,TESTJK01,N135,N136,212.187
180,TESTJK01,N136,N137,391.688
181,TESTJK01,N137,N138,229.258
182,TESTJK01,N139,N140,109.607
183,TESTJK01,N140,N138,412.591
184,TESTJK01,N138,N260,1002.83
185,TESTJK01,N260,N141,204.823
186,TESTJK01,N133,N140,229.258
187,TESTJK01,N133,N137,412.591
188,TESTJK01,N137,N261,1002.83
189,TESTJK01,N135,N142,111.826
190,TESTJK01,N140,N143,145.786
191,TESTJK01,N127,N144,109.141
192,TESTJK01,N145,N146,270.878
193,TESTJK01,N146,N147,478.497
194,TESTJK01,N148,N149,136.027
195,TESTJK01,N149,N150,146.071
196,TESTJK01,N151,N152,70
197,TESTJK01,N152,N149,166.657
198,TESTJK01,N149,N153,100.909
199,TESTJK01,N153,N268,54.3195
200,TESTJK01,N272,N152,411.156
201,TESTJK01,N152,N147,333.56
202,TESTJK01,N147,N154,280.551
203,TESTJK01,N150,N155,234.272
204,TESTJK01,N156,N157,331.481
205,TESTJK01,N158,N159,70
206,TESTJK01,N159,N157,298.931
207,TESTJK01,N157,N160,154.314
208,TESTJK01,N268,N160,860.76
209,TESTJK01,N160,N161,385.059
210,TESTJK01,N161,N162,902.773
211,TESTJK01,N162,N163,359.368
212,TESTJK01,N163,N164,408.236
213,TESTJK01,N164,N165,1412.43
214,TESTJK01,N277,N165,386.173
215,TESTJK01,N165,N166,62.5588
216,TESTJK01,N166,N167,447.501
217,TESTJK01,N153,N168,418.051
218,TESTJK01,N168,N169,196.06
219,TESTJK01,N168,N170,131.079
220,TESTJK01,N171,N172,128.174
221,TESTJK01,N169,N154,267.565
222,TESTJK01,N154,N278,749.375
223,TESTJK01,N278,N167,661.676
224,TESTJK01,N173,N174,736.317
225,TESTJK01,N174,N175,20.9605
226,TESTJK01,N173,N176,6.73927
227,TESTJK01,N176,N10,433.644
228,TESTJK01,N177,N178,56.4461
229,TESTJK01,N178,N273,496.944
230,TESTJK01,N273,N179,663.749
231,TESTJK01,N179,N180,389.286
232,TESTJK01,N180,N181,271.395
233,TESTJK01,N181,N182,192.618
234,TESTJK01,N158,N183,106.494
235,TESTJK01,N183,N180,249.885
236,TESTJK01,N146,N184,305.403
237,TESTJK01,N151,N177,257.926
238,TESTJK01,N162,N185,327.729
239,TESTJK01,N185,N186,359.368
240,TESTJK01,N186,N163,327.729
241,TESTJK01,N183,N187,306.196
242,TESTJK01,N187,N188,121.006
243,TESTJK01,N187,N181,252.297
244,TESTJK01,N181,N24,32.4139
245,TESTJK01,N189,N190,272.324
246,TESTJK01,N190,N191,185.764
247,TESTJK01,N191,N192,332.488
248,TESTJK01,N192,N193,189.501
249,TESTJK01,N193,N194,302.835
250,TESTJK01,N194,N195,231.115
251,TESTJK01,N195,N196,8
252,TESTJK01,N196,N197,183.864
253,TESTJK01,N197,N198,507.954
254,TESTJK01,N198,N199,151.991
255,TESTJK01,N199,N200,119.146
256,TESTJK01,N199,N201,202.352
257,TESTJK01,N194,N202,561.1
258,TESTJK01,N202,N203,275.078
259,TESTJK01,N192,N204,418.123
260,TESTJK01,N193,N205,857.26
261,TESTJK01,N205,N206,232.018
262,TESTJK01,N207,N208,437.542
263,TESTJK01,N208,N209,167.655
264,TESTJK01,N209,N210,196.888
265,TESTJK01,N210,N211,180.813
266,TESTJK01,N211,N212,281.673
267,TESTJK01,N212,N190,152.749
268,TESTJK01,N200,N215,130.36
269,TESTJK01,N215,N38,42.1455
270,TESTJK01,N62,N178,71.5642
271,TESTJK01,N36,N216,211.112
272,TESTJK01,N216,N217,100.885
273,TESTJK01,N217,N218,1581.9
274,TESTJK01,N219,N220,211.112
275,TESTJK01,N220,N221,100.885
276,TESTJK01,N221,N222,1581.9
277,TESTJK01,N218,N1,72.528
278,TESTJK01,N1,N222,75.9507
279,TESTJK01,N223,N265,624.377
280,TESTJK01,N265,N224,604.287
281,TESTJK01,N225,N226,501.301
282,TESTJK01,N226,N227,727.363
283,TESTJK01,N224,N15,762.528
284,TESTJK01,N15,N228,6.73173
285,TESTJK01,N227,N229,769.23
286,TESTJK01,N228,N230,3.97322
287,TESTJK01,N230,N176,204.036
288,TESTJK01,N176,N231,734.296
289,TESTJK01,N231,N232,40.4682
290,TESTJK01,N229,N233,3.97322
291,TESTJK01,N233,N234,948.165
292,TESTJK01,N234,N235,30.636
293,TESTJK01,N231,N123,118.413
294,TESTJK01,N123,N174,119.925
295,TESTJK01,N123,N234,112.142
296,TESTJK01,N1,N223,63.6262
297,TESTJK01,N223,N225,8
298,TESTJK01,N236,N237,1292.21
299,TESTJK01,N238,N239,729.291
300,TESTJK01,N239,N240,570.923
301,TESTJK01,N241,N242,184.835
302,TESTJK01,N242,N243,354.319
303,TESTJK01,N244,N245,299.028
304,TESTJK01,N246,N247,538.816
305,TESTJK01,N248,N249,299.908
306,TESTJK01,N244,N243,77.2072
307,TESTJK01,N248,N247,76.4262
308,TESTJK01,N241,N237,79.4539
309,TESTJK01,N240,N246,87.4539
310,TESTJK01,N250,N245,262.325
311,TESTJK01,N251,N249,262.325
312,TESTJK01,N29,N250,30
313,TESTJK01,N28,N251,30
314,TESTJK01,N34,N215,446.378
315,TESTJK01,N215,N20,507.954
316,TESTJK01,N20,N252,25.7864
317,TESTJK01,N252,N219,42.1455
318,TESTJK01,N238,N195,17.7271
319,TESTJK01,N236,N196,17.7271
320,TESTJK01,N253,N69,397.122
321,TESTJK01,N254,N255,377.122
322,TESTJK01,N255,N69,8
323,TESTJK01,N262,N261,391.688
324,TESTJK01,N261,N260,229.258
325,TESTJK01,N258,N259,79.4117
326,TESTJK01,N257,N263,273.676
327,TESTJK01,N263,N266,278.027
328,TESTJK01,N209,N265,103.678
329,TESTJK01,N266,N267,348.861
330,TESTJK01,N274,N275,70
331,TESTJK01,N275,N276,31.9727
332,TESTJK01,N276,N273,206.463
333,TESTJK01,N274,N272,143.563
334,TESTJK01,N270,N276,24.4452
335,TESTJK01,N158,N269,185.621
336,TESTJK01,N151,N271,170.859
337,TESTJK01,N145,N280,157.481
338,TESTJK01,N280,N278,123.07
339,TESTJK01,N278,N279,52.2048
340,TESTJK01,N280,N281,330.397
