i,i,i,i,i
148,TESTA10,N115,N116,65
149,TESTA10,N116,N106,332.017
150,TESTA10,N117,N118,65
151,TESTA10,N110,N118,350
152,TESTA10,N118,N116,325
153,TESTA10,N119,N120,797.5
154,TESTA10,N119,N55,56.2892
155,TESTA10,N55,N56,166.381
156,TESTA10,N56,N258,75.4072
157,TESTA10,N109,N117,350
158,TESTA10,N117,N120,86.9222
159,TESTA10,N120,N115,238.078
160,TESTA10,N121,N122,232.257
161,TESTA10,N114,N123,478.09
162,TESTA10,N123,N124,56.9039
163,TESTA10,N109,N125,213.159
164,TESTA10,N125,N126,323.763
165,TESTA10,N126,N122,435.536
166,TESTA10,N127,N259,337.679
167,TESTA10,N259,N128,125
168,TESTA10,N128,N129,545.944
169,TESTA10,N129,N130,296.046
170,TESTA10,N130,N131,307.079
171,TESTA10,N131,N132,512.594
172,TESTA10,N133,N134,70
173,TESTA10,N134,N128,140.088
174,TESTA10,N135,N136,212.187
175,TESTA10,N136,N137,391.688
176,TESTA10,N137,N138,229.258
177,TESTA10,N139,N140,109.607
178,TESTA10,N140,N138,412.591
179,TESTA10,N138,N260,1002.83
180,TESTA10,N260,N141,204.823
181,TESTA10,N133,N140,229.258
182,TESTA10,N133,N137,412.591
183,TESTA10,N137,N261,1002.83
184,TESTA10,N135,N142,111.826
185,TESTA10,N140,N143,145.786
186,TESTA10,N127,N144,109.141
187,TESTA10,N145,N146,270.878
188,TESTA10,N146,N147,478.497
189,TESTA10,N148,N149,136.027
190,TESTA10,N149,N150,146.071
191,TESTA10,N151,N152,70
192,TESTA10,N152,N149,166.657
193,TESTA10,N149,N153,100.909
194,TESTA10,N153,N268,54.3195
195,TESTA10,N272,N152,411.156
196,TESTA10,N152,N147,333.56
197,TESTA10,N147,N154,280.551
198,TESTA10,N150,N155,234.272
199,TESTA10,N156,N157,331.481
200,TESTA10,N158,N159,70
201,TESTA10,N159,N157,298.931
202,TESTA10,N157,N160,154.314
203,TESTA10,N268,N160,860.76
204,TESTA10,N160,N161,385.059
205,TESTA10,N161,N162,902.773
206,TESTA10,N162,N163,359.368
207,TESTA10,N163,N164,408.236
208,TESTA10,N164,N165,1412.43
209,TESTA10,N277,N165,386.173
210,TESTA10,N165,N166,62.5588
211,TESTA10,N166,N167,447.501
212,TESTA10,N153,N168,418.051
213,TESTA10,N168,N169,196.06
214,TESTA10,N168,N170,131.079
215,TESTA10,N171,N172,128.174
216,TESTA10,N169,N154,267.565
217,TESTA10,N154,N167,1411.05
218,TESTA10,N173,N289,346.102
219,TESTA10,N289,N283,214.876
220,TESTA10,N283,N174,175.339
221,TESTA10,N174,N281,20.9605
222,TESTA10,N173,N176,16.3094
223,TESTA10,N176,N10,468.644
224,TESTA10,N177,N178,56.4461
225,TESTA10,N178,N273,496.944
226,TESTA10,N273,N179,663.749
227,TESTA10,N179,N180,389.286
228,TESTA10,N180,N181,271.395
229,TESTA10,N181,N182,192.618
230,TESTA10,N158,N183,106.494
231,TESTA10,N183,N180,249.885
232,TESTA10,N146,N184,305.403
233,TESTA10,N151,N177,257.926
234,TESTA10,N162,N185,327.729
235,TESTA10,N185,N186,359.368
236,TESTA10,N186,N163,327.729
237,TESTA10,N183,N187,306.196
238,TESTA10,N187,N188,121.006
239,TESTA10,N187,N181,252.297
240,TESTA10,N181,N24,32.4139
241,TESTA10,N189,N190,272.324
242,TESTA10,N190,N191,185.764
243,TESTA10,N191,N192,332.488
244,TESTA10,N192,N193,189.501
245,TESTA10,N193,N194,302.835
246,TESTA10,N194,N195,231.115
247,TESTA10,N195,N196,8
248,TESTA10,N196,N197,183.864
249,TESTA10,N197,N198,507.954
250,TESTA10,N198,N199,151.991
251,TESTA10,N199,N200,119.146
252,TESTA10,N199,N201,202.352
253,TESTA10,N194,N202,561.1
254,TESTA10,N202,N203,275.078
255,TESTA10,N192,N204,418.123
256,TESTA10,N193,N205,857.26
257,TESTA10,N205,N206,232.018
258,TESTA10,N207,N208,437.542
259,TESTA10,N208,N209,167.655
260,TESTA10,N209,N210,196.888
261,TESTA10,N210,N211,180.813
262,TESTA10,N211,N212,281.673
263,TESTA10,N212,N190,152.749
264,TESTA10,N200,N215,130.36
265,TESTA10,N215,N38,42.1455
266,TESTA10,N62,N178,71.5642
267,TESTA10,N36,N216,211.112
268,TESTA10,N216,N217,100.885
269,TESTA10,N217,N218,1581.9
270,TESTA10,N219,N220,211.112
271,TESTA10,N220,N221,100.885
272,TESTA10,N221,N222,1581.9
273,TESTA10,N218,N1,72.528
274,TESTA10,N1,N222,75.9507
275,TESTA10,N223,N278,349.542
276,TESTA10,N278,N265,274.835
277,TESTA10,N265,N224,635.314
278,TESTA10,N225,N279,349.542
279,TESTA10,N279,N226,151.759
280,TESTA10,N226,N227,727.363
281,TESTA10,N224,N285,527.823
282,TESTA10,N285,N287,220.742
283,TESTA10,N287,N176,224.731
284,TESTA10,N176,N231,734.296
285,TESTA10,N231,N282,40.4682
286,TESTA10,N227,N229,769.23
287,TESTA10,N288,N234,937.562
288,TESTA10,N234,N235,30.636
289,TESTA10,N231,N123,137.877
290,TESTA10,N123,N174,147.518
291,TESTA10,N123,N234,112.142
292,TESTA10,N1,N223,63.6262
293,TESTA10,N223,N225,8
294,TESTA10,N236,N237,1292.21
295,TESTA10,N238,N239,729.291
296,TESTA10,N239,N240,570.923
297,TESTA10,N241,N242,184.835
298,TESTA10,N242,N243,354.319
299,TESTA10,N244,N245,299.028
300,TESTA10,N246,N247,538.816
301,TESTA10,N248,N249,299.908
302,TESTA10,N244,N243,77.2072
303,TESTA10,N248,N247,76.4262
304,TESTA10,N241,N237,79.4539
305,TESTA10,N240,N246,87.4539
306,TESTA10,N250,N245,262.325
307,TESTA10,N251,N249,262.325
308,TESTA10,N29,N250,30
309,TESTA10,N28,N251,30
310,TESTA10,N34,N215,446.378
311,TESTA10,N215,N20,507.954
312,TESTA10,N20,N252,25.7864
313,TESTA10,N252,N219,42.1455
314,TESTA10,N238,N195,17.7271
315,TESTA10,N236,N196,17.7271
316,TESTA10,N253,N69,397.122
317,TESTA10,N254,N255,377.122
318,TESTA10,N255,N69,8
319,TESTA10,N262,N261,391.688
320,TESTA10,N261,N260,229.258
321,TESTA10,N258,N259,79.4117
322,TESTA10,N257,N263,273.676
323,TESTA10,N263,N266,278.027
324,TESTA10,N209,N265,103.678
325,TESTA10,N266,N267,348.861
326,TESTA10,N274,N275,70
327,TESTA10,N275,N276,31.9727
328,TESTA10,N276,N273,206.463
329,TESTA10,N274,N272,143.563
330,TESTA10,N270,N276,24.4452
331,TESTA10,N158,N269,185.621
332,TESTA10,N151,N271,170.859
333,TESTA10,N278,N279,8
334,TESTA10,N283,N284,66.99
335,TESTA10,N285,N286,117.321
336,TESTA10,N229,N287,38.1438
337,TESTA10,N14,N229,437.742
338,TESTA10,N229,N288,11.3224
339,TESTA10,N289,N290,66.99
