i,i,i,i,i
58,TESTA01,E456,N273,70
59,TESTA01,N301A-X01,E324,232.186
60,TESTA01,E324,N11,394.811
61,TESTA01,E324,N8,199.852
62,TESTA01,K210-X02,E67,109.076
63,TESTA01,V201-X02,E50,123.415
64,TESTA01,E50,N156,0
65,TESTA01,E50,N157,331.481
66,TESTA01,N301B-X01,E368,232.276
67,TESTA01,E368,N11,159.341
68,TESTA01,E368,N8,435.322
69,TESTA01,K210-X03,E67,97.5963
70,TESTA01,V201-X03,E94,86.6279
71,TESTA01,E94,N148,22.6373
72,TESTA01,E94,N149,113.39
73,TESTA01,N301C-X01,E395,232.187
74,TESTA01,E395,N6,210.374
75,TESTA01,E395,N278,594.985
76,TESTA01,K210-X04,E67,137.266
77,TESTA01,V201-X04,E94,87.8315
78,TESTA01,N301D-X01,E290,232.187
79,TESTA01,E290,N6,458.374
80,TESTA01,E290,N278,346.985
81,TESTA01,K210-X05,E67,116.957
82,TESTA01,V201-X05,E50,123.931
83,TESTA01,N301E-X01,E307,242.314
84,TESTA01,E307,N31,330.515
85,TESTA01,E307,N37,377.495
86,TESTA01,K210-X06,E67,126.568
87,TESTA01,V201-X06,E50,124.013
88,TESTA01,N301F-X01,E121,242.314
89,TESTA01,E121,N31,85.5152
90,TESTA01,E121,N37,622.495
91,TESTA01,K210-X07,E67,151.803
92,TESTA01,V201-X07,E94,87.4779
93,TESTA01,N301G-X01,E138,249.168
94,TESTA01,E138,N42,229.863
95,TESTA01,E138,N43,297.75
96,TESTA01,N0,N1,17.3326
97,TESTA01,N1,N2,835.119
98,TESTA01,N2,N3,211.615
99,TESTA01,N3,N4,594.663
100,TESTA01,N4,N5,190.743
101,TESTA01,N6,N278,805.359
102,TESTA01,N4,N8,408.146
103,TESTA01,N8,N9,439.137
104,TESTA01,N9,N10,638.341
105,TESTA01,N11,N8,594.663
106,TESTA01,N8,N12,167.183
107,TESTA01,N3,N11,408.146
108,TESTA01,N2,N6,405.779
109,TESTA01,N280,N14,756.609
110,TESTA01,N17,N18,780.625
111,TESTA01,N18,N19,812.631
112,TESTA01,N19,N20,42.1455
113,TESTA01,N20,N21,128.269
114,TESTA01,N22,N23,246.862
115,TESTA01,N23,N24,452.997
116,TESTA01,N24,N25,107.651
117,TESTA01,N25,N26,190.81
118,TESTA01,N26,N27,878.425
119,TESTA01,N28,N29,8
120,TESTA01,N29,N26,24.4452
121,TESTA01,N26,N30,313.436
122,TESTA01,N30,N31,504.411
123,TESTA01,N30,N32,269.615
124,TESTA01,N32,N33,438.395
125,TESTA01,N33,N34,42.1455
126,TESTA01,N34,N35,128.269
127,TESTA01,N36,N19,17.7864
128,TESTA01,N19,N37,449.921
129,TESTA01,N37,N38,58.0327
130,TESTA01,N38,N33,446.378
131,TESTA01,N256,N32,172.448
132,TESTA01,N32,N39,194.178
133,TESTA01,N39,N40,283.852
134,TESTA01,N31,N37,708.01
135,TESTA01,N17,N41,467.436
136,TESTA01,N42,N43,527.613
137,TESTA01,N43,N41,253.011
138,TESTA01,N25,N44,441.286
139,TESTA01,N44,N45,237.516
140,TESTA01,N45,N46,203.909
141,TESTA01,N46,N47,210.371
142,TESTA01,N47,N48,155.714
143,TESTA01,N48,N22,441.286
144,TESTA01,N43,N49,154.535
145,TESTA01,N49,N46,204.511
146,TESTA01,N49,N50,166.341
147,TESTA01,N23,N269,398.448
148,TESTA01,N269,N270,286.552
149,TESTA01,N270,N271,392.309
150,TESTA01,N47,N52,320.3
151,TESTA01,N45,N53,166.341
152,TESTA01,N42,N18,467.436
153,TESTA01,N54,N55,404.526
154,TESTA01,N56,N57,65
155,TESTA01,N58,N59,242.813
156,TESTA01,N59,N60,209.26
157,TESTA01,N60,N257,171.067
158,TESTA01,N257,N61,182.478
159,TESTA01,N61,N62,221.455
160,TESTA01,N62,N63,11.4939
161,TESTA01,N64,N65,153.443
162,TESTA01,N65,N58,508.501
163,TESTA01,N58,N66,158.056
164,TESTA01,N65,N67,295.959
165,TESTA01,N67,N68,187.58
166,TESTA01,N68,N69,35.7024
167,TESTA01,N69,N70,300.189
168,TESTA01,N70,N71,219.136
169,TESTA01,N67,N72,253.501
170,TESTA01,N59,N73,67.861
171,TESTA01,N73,N74,253.501
172,TESTA01,N61,N75,253.501
173,TESTA01,N70,N76,278.027
174,TESTA01,N77,N78,412.072
175,TESTA01,N79,N80,124.041
176,TESTA01,N80,N81,83.0202
177,TESTA01,N81,N82,114.655
178,TESTA01,N82,N83,112.033
179,TESTA01,N80,N84,76.028
180,TESTA01,N82,N85,76.028
181,TESTA01,N81,N86,292.297
182,TESTA01,N86,N87,104.261
183,TESTA01,N87,N88,194.498
184,TESTA01,N87,N89,53.2309
185,TESTA01,N86,N90,207.061
186,TESTA01,N90,N91,65
187,TESTA01,N91,N68,153.443
188,TESTA01,N92,N93,70.0736
189,TESTA01,N93,N91,375
190,TESTA01,N94,N95,36.1056
191,TESTA01,N95,N96,375
192,TESTA01,N97,N98,65
193,TESTA01,N99,N98,350
194,TESTA01,N98,N95,181.77
195,TESTA01,N100,N101,181.45
196,TESTA01,N101,N97,350
197,TESTA01,N97,N93,31.2848
198,TESTA01,N102,N103,240.987
199,TESTA01,N103,N90,381.466
200,TESTA01,N90,N96,150.304
201,TESTA01,N96,N79,141.993
202,TESTA01,N79,N78,180.46
203,TESTA01,N101,N99,65.0007
204,TESTA01,N99,N103,375
205,TESTA01,N100,N104,375.458
206,TESTA01,N104,N64,79.3772
207,TESTA01,N91,N105,517.363
208,TESTA01,N106,N107,181.36
209,TESTA01,N107,N108,465.483
210,TESTA01,N57,N108,166.381
211,TESTA01,N108,N66,41.1387
212,TESTA01,N109,N110,65
213,TESTA01,N110,N111,797.5
214,TESTA01,N111,N112,41.8381
215,TESTA01,N112,N113,98.2085
216,TESTA01,N112,N114,494.564
217,TESTA01,N111,N60,158.056
218,TESTA01,N115,N116,65
219,TESTA01,N116,N106,332.017
220,TESTA01,N117,N118,65
221,TESTA01,N110,N118,350
222,TESTA01,N118,N116,325
223,TESTA01,N119,N120,797.5
224,TESTA01,N119,N55,56.2892
225,TESTA01,N55,N56,166.381
226,TESTA01,N56,N258,75.4072
227,TESTA01,N109,N117,350
228,TESTA01,N117,N120,86.9222
229,TESTA01,N120,N115,238.078
230,TESTA01,N121,N122,232.257
231,TESTA01,N114,N123,478.09
232,TESTA01,N123,N124,56.9039
233,TESTA01,N109,N125,213.159
234,TESTA01,N125,N126,323.763
235,TESTA01,N126,N122,435.536
236,TESTA01,N127,N259,337.679
237,TESTA01,N259,N128,125
238,TESTA01,N128,N129,545.944
239,TESTA01,N129,N130,296.046
240,TESTA01,N130,N131,307.079
241,TESTA01,N131,N132,512.594
242,TESTA01,N133,N134,70
243,TESTA01,N134,N128,140.088
244,TESTA01,N135,N136,212.187
245,TESTA01,N136,N137,391.688
246,TESTA01,N137,N138,229.258
247,TESTA01,N139,N140,109.607
248,TESTA01,N140,N138,412.591
249,TESTA01,N138,N260,1002.83
250,TESTA01,N260,N141,204.823
251,TESTA01,N133,N140,229.258
252,TESTA01,N133,N137,412.591
253,TESTA01,N137,N261,1002.83
254,TESTA01,N135,N142,111.826
255,TESTA01,N140,N143,145.786
256,TESTA01,N127,N144,109.141
257,TESTA01,N145,N146,270.878
258,TESTA01,N146,N147,478.497
259,TESTA01,N148,N149,136.027
260,TESTA01,N149,N150,146.071
261,TESTA01,N151,N152,70
262,TESTA01,N152,N149,166.657
263,TESTA01,N149,N153,100.909
264,TESTA01,N153,N268,54.3195
265,TESTA01,N272,N152,411.156
266,TESTA01,N152,N147,333.56
267,TESTA01,N147,N154,280.551
268,TESTA01,N150,N155,234.272
269,TESTA01,N156,N157,331.481
270,TESTA01,N158,N159,70
271,TESTA01,N159,N157,298.931
272,TESTA01,N157,N160,154.314
273,TESTA01,N268,N160,860.76
274,TESTA01,N160,N161,385.059
275,TESTA01,N161,N162,902.773
276,TESTA01,N162,N163,359.368
277,TESTA01,N163,N164,408.236
278,TESTA01,N164,N165,1412.43
279,TESTA01,N277,N165,386.173
280,TESTA01,N165,N166,62.5588
281,TESTA01,N166,N167,447.501
282,TESTA01,N153,N168,418.051
283,TESTA01,N168,N169,196.06
284,TESTA01,N168,N170,131.079
285,TESTA01,N171,N172,128.174
286,TESTA01,N169,N154,267.565
287,TESTA01,N154,N167,1411.05
288,TESTA01,N173,N289,346.102
289,TESTA01,N289,N283,214.876
290,TESTA01,N283,N174,175.339
291,TESTA01,N174,N281,20.9605
292,TESTA01,N173,N176,16.3094
293,TESTA01,N176,N10,468.644
294,TESTA01,N177,N178,56.4461
295,TESTA01,N178,N273,496.944
296,TESTA01,N273,N179,663.749
297,TESTA01,N179,N180,389.286
298,TESTA01,N180,N181,271.395
299,TESTA01,N181,N182,192.618
300,TESTA01,N158,N183,106.494
301,TESTA01,N183,N180,249.885
302,TESTA01,N146,N184,305.403
303,TESTA01,N151,N177,257.926
304,TESTA01,N162,N185,327.729
305,TESTA01,N185,N186,359.368
306,TESTA01,N186,N163,327.729
307,TESTA01,N183,N187,306.196
308,TESTA01,N187,N188,121.006
309,TESTA01,N187,N181,252.297
310,TESTA01,N181,N24,32.4139
311,TESTA01,N189,N190,272.324
312,TESTA01,N190,N191,185.764
313,TESTA01,N191,N192,332.488
314,TESTA01,N192,N193,189.501
315,TESTA01,N193,N194,302.835
316,TESTA01,N194,N195,231.115
317,TESTA01,N195,N196,8
318,TESTA01,N196,N197,183.864
319,TESTA01,N197,N198,507.954
320,TESTA01,N198,N199,151.991
321,TESTA01,N199,N200,119.146
322,TESTA01,N199,N201,202.352
323,TESTA01,N194,N202,561.1
324,TESTA01,N202,N203,275.078
325,TESTA01,N192,N204,418.123
326,TESTA01,N193,N205,857.26
327,TESTA01,N205,N206,232.018
328,TESTA01,N207,N208,437.542
329,TESTA01,N208,N209,167.655
330,TESTA01,N209,N210,196.888
331,TESTA01,N210,N211,180.813
332,TESTA01,N211,N212,281.673
333,TESTA01,N212,N190,152.749
334,TESTA01,N200,N215,130.36
335,TESTA01,N215,N38,42.1455
336,TESTA01,N62,N178,71.5642
337,TESTA01,N36,N216,211.112
338,TESTA01,N216,N217,100.885
339,TESTA01,N217,N218,1581.9
340,TESTA01,N219,N220,211.112
341,TESTA01,N220,N221,100.885
342,TESTA01,N221,N222,1581.9
343,TESTA01,N218,N1,72.528
344,TESTA01,N1,N222,75.9507
345,TESTA01,N223,N278,349.542
346,TESTA01,N278,N265,274.835
347,TESTA01,N265,N224,635.314
348,TESTA01,N225,N279,349.542
349,TESTA01,N279,N226,151.759
350,TESTA01,N226,N227,727.363
351,TESTA01,N224,N285,527.823
352,TESTA01,N285,N287,220.742
353,TESTA01,N287,N176,224.731
354,TESTA01,N176,N231,734.296
355,TESTA01,N231,N282,40.4682
356,TESTA01,N227,N229,769.23
357,TESTA01,N288,N234,937.562
358,TESTA01,N234,N235,30.636
359,TESTA01,N231,N123,137.877
360,TESTA01,N123,N174,147.518
361,TESTA01,N123,N234,112.142
362,TESTA01,N1,N223,63.6262
363,TESTA01,N223,N225,8
364,TESTA01,N236,N237,1292.21
365,TESTA01,N238,N239,729.291
366,TESTA01,N239,N240,570.923
367,TESTA01,N241,N242,184.835
368,TESTA01,N242,N243,354.319
369,TESTA01,N244,N245,299.028
370,TESTA01,N246,N247,538.816
371,TESTA01,N248,N249,299.908
372,TESTA01,N244,N243,77.2072
373,TESTA01,N248,N247,76.4262
374,TESTA01,N241,N237,79.4539
375,TESTA01,N240,N246,87.4539
376,TESTA01,N250,N245,262.325
377,TESTA01,N251,N249,262.325
378,TESTA01,N29,N250,30
379,TESTA01,N28,N251,30
380,TESTA01,N34,N215,446.378
381,TESTA01,N215,N20,507.954
382,TESTA01,N20,N252,25.7864
383,TESTA01,N252,N219,42.1455
384,TESTA01,N238,N195,17.7271
385,TESTA01,N236,N196,17.7271
386,TESTA01,N253,N69,397.122
387,TESTA01,N254,N255,377.122
388,TESTA01,N255,N69,8
389,TESTA01,N262,N261,391.688
390,TESTA01,N261,N260,229.258
391,TESTA01,N258,N259,79.4117
392,TESTA01,N257,N263,273.676
393,TESTA01,N263,N266,278.027
394,TESTA01,N209,N265,103.678
395,TESTA01,N266,N267,348.861
396,TESTA01,N274,N275,70
397,TESTA01,N275,N276,31.9727
398,TESTA01,N276,N273,206.463
399,TESTA01,N274,N272,143.563
400,TESTA01,N270,N276,24.4452
401,TESTA01,N158,N269,185.621
402,TESTA01,N151,N271,170.859
403,TESTA01,N278,N279,8
404,TESTA01,N283,N284,66.99
405,TESTA01,N285,N286,117.321
406,TESTA01,N229,N287,38.1438
407,TESTA01,N14,N229,437.742
408,TESTA01,N229,N288,11.3224
409,TESTA01,N289,N290,66.99
