i,i,i,i,i
122,TESTA02,N256,N32,172.448
123,TESTA02,N32,N39,194.178
124,TESTA02,N39,N40,283.852
125,TESTA02,N31,N37,708.01
126,TESTA02,N17,N41,467.436
127,TESTA02,N42,N43,527.613
128,TESTA02,N43,N41,253.011
129,TESTA02,N25,N44,441.286
130,TESTA02,N44,N45,237.516
131,TESTA02,N45,N46,203.909
132,TESTA02,N46,N47,210.371
133,TESTA02,N47,N48,155.714
134,TESTA02,N48,N22,441.286
135,TESTA02,N43,N49,154.535
136,TESTA02,N49,N46,204.511
137,TESTA02,N49,N50,166.341
138,TESTA02,N23,N269,398.448
139,TESTA02,N269,N270,286.552
140,TESTA02,N270,N271,392.309
141,TESTA02,N47,N52,320.3
142,TESTA02,N45,N53,166.341
143,TESTA02,N42,N18,467.436
144,TESTA02,N54,N55,404.526
145,TESTA02,N56,N57,65
146,TESTA02,N58,N59,242.813
147,TESTA02,N59,N60,209.26
148,TESTA02,N60,N257,171.067
149,TESTA02,N257,N61,182.478
150,TESTA02,N61,N62,221.455
151,TESTA02,N62,N63,11.4939
152,TESTA02,N64,N65,153.443
153,TESTA02,N65,N58,508.501
154,TESTA02,N58,N66,158.056
155,TESTA02,N65,N67,295.959
156,TESTA02,N67,N68,187.58
157,TESTA02,N68,N69,35.7024
158,TESTA02,N69,N70,300.189
159,TESTA02,N70,N71,219.136
160,TESTA02,N67,N72,253.501
161,TESTA02,N59,N73,67.861
162,TESTA02,N73,N74,253.501
163,TESTA02,N61,N75,253.501
164,TESTA02,N70,N76,278.027
165,TESTA02,N77,N78,412.072
166,TESTA02,N79,N80,124.041
167,TESTA02,N80,N81,83.0202
168,TESTA02,N81,N82,114.655
169,TESTA02,N82,N83,112.033
170,TESTA02,N80,N84,76.028
171,TESTA02,N82,N85,76.028
172,TESTA02,N81,N86,292.297
173,TESTA02,N86,N87,104.261
174,TESTA02,N87,N88,194.498
175,TESTA02,N87,N89,53.2309
176,TESTA02,N86,N90,207.061
177,TESTA02,N90,N91,65
178,TESTA02,N91,N68,153.443
179,TESTA02,N92,N93,70.0736
180,TESTA02,N93,N91,375
181,TESTA02,N94,N95,36.1056
182,TESTA02,N95,N96,375
183,TESTA02,N97,N98,65
184,TESTA02,N99,N98,350
185,TESTA02,N98,N95,181.77
186,TESTA02,N100,N101,181.45
187,TESTA02,N101,N97,350
188,TESTA02,N97,N93,31.2848
189,TESTA02,N102,N103,240.987
190,TESTA02,N103,N90,381.466
191,TESTA02,N90,N96,150.304
192,TESTA02,N96,N79,141.993
193,TESTA02,N79,N78,180.46
194,TESTA02,N101,N99,65.0007
195,TESTA02,N99,N103,375
196,TESTA02,N100,N104,375.458
197,TESTA02,N104,N64,79.3772
198,TESTA02,N91,N105,517.363
199,TESTA02,N106,N107,181.36
200,TESTA02,N107,N108,465.483
201,TESTA02,N57,N108,166.381
202,TESTA02,N108,N66,41.1387
203,TESTA02,N109,N110,65
204,TESTA02,N110,N111,797.5
205,TESTA02,N111,N112,41.8381
206,TESTA02,N112,N113,98.2085
207,TESTA02,N112,N114,494.564
208,TESTA02,N111,N60,158.056
209,TESTA02,N115,N116,65
210,TESTA02,N116,N106,332.017
211,TESTA02,N117,N118,65
212,TESTA02,N110,N118,350
213,TESTA02,N118,N116,325
214,TESTA02,N119,N120,797.5
215,TESTA02,N119,N55,56.2892
216,TESTA02,N55,N56,166.381
217,TESTA02,N56,N258,75.4072
218,TESTA02,N109,N117,350
219,TESTA02,N117,N120,86.9222
220,TESTA02,N120,N115,238.078
221,TESTA02,N121,N122,232.257
222,TESTA02,N114,N123,478.09
223,TESTA02,N123,N124,56.9039
224,TESTA02,N109,N125,213.159
225,TESTA02,N125,N126,323.763
226,TESTA02,N126,N122,435.536
227,TESTA02,N127,N259,337.679
228,TESTA02,N259,N128,125
229,TESTA02,N128,N129,545.944
230,TESTA02,N129,N130,296.046
231,TESTA02,N130,N131,307.079
232,TESTA02,N131,N132,512.594
233,TESTA02,N133,N134,70
234,TESTA02,N134,N128,140.088
235,TESTA02,N135,N136,212.187
236,TESTA02,N136,N137,391.688
237,TESTA02,N137,N138,229.258
238,TESTA02,N139,N140,109.607
239,TESTA02,N140,N138,412.591
240,TESTA02,N138,N260,1002.83
241,TESTA02,N260,N141,204.823
242,TESTA02,N133,N140,229.258
243,TESTA02,N133,N137,412.591
244,TESTA02,N137,N261,1002.83
245,TESTA02,N135,N142,111.826
246,TESTA02,N140,N143,145.786
247,TESTA02,N127,N144,109.141
248,TESTA02,N145,N146,270.878
249,TESTA02,N146,N147,478.497
250,TESTA02,N148,N149,136.027
251,TESTA02,N149,N150,146.071
252,TESTA02,N151,N152,70
253,TESTA02,N152,N149,166.657
254,TESTA02,N149,N153,100.909
255,TESTA02,N153,N268,54.3195
256,TESTA02,N272,N152,411.156
257,TESTA02,N152,N147,333.56
258,TESTA02,N147,N154,280.551
259,TESTA02,N150,N155,234.272
260,TESTA02,N156,N157,331.481
261,TESTA02,N158,N159,70
262,TESTA02,N159,N157,298.931
263,TESTA02,N157,N160,154.314
264,TESTA02,N268,N160,860.76
265,TESTA02,N160,N161,385.059
266,TESTA02,N161,N162,902.773
267,TESTA02,N162,N163,359.368
268,TESTA02,N163,N164,408.236
269,TESTA02,N164,N165,1412.43
270,TESTA02,N277,N165,386.173
271,TESTA02,N165,N166,62.5588
272,TESTA02,N166,N167,447.501
273,TESTA02,N153,N168,418.051
274,TESTA02,N168,N169,196.06
275,TESTA02,N168,N170,131.079
276,TESTA02,N171,N172,128.174
277,TESTA02,N169,N154,267.565
278,TESTA02,N154,N167,1411.05
279,TESTA02,N173,N289,346.102
280,TESTA02,N289,N283,214.876
281,TESTA02,N283,N174,175.339
282,TESTA02,N174,N281,20.9605
283,TESTA02,N173,N176,16.3094
284,TESTA02,N176,N10,468.644
285,TESTA02,N177,N178,56.4461
286,TESTA02,N178,N273,496.944
287,TESTA02,N273,N179,663.749
288,TESTA02,N179,N180,389.286
289,TESTA02,N180,N181,271.395
290,TESTA02,N181,N182,192.618
291,TESTA02,N158,N183,106.494
292,TESTA02,N183,N180,249.885
293,TESTA02,N146,N184,305.403
294,TESTA02,N151,N177,257.926
295,TESTA02,N162,N185,327.729
296,TESTA02,N185,N186,359.368
297,TESTA02,N186,N163,327.729
298,TESTA02,N183,N187,306.196
299,TESTA02,N187,N188,121.006
300,TESTA02,N187,N181,252.297
301,TESTA02,N181,N24,32.4139
302,TESTA02,N189,N190,272.324
303,TESTA02,N190,N191,185.764
304,TESTA02,N191,N192,332.488
305,TESTA02,N192,N193,189.501
306,TESTA02,N193,N194,302.835
307,TESTA02,N194,N195,231.115
308,TESTA02,N195,N196,8
309,TESTA02,N196,N197,183.864
310,TESTA02,N197,N198,507.954
311,TESTA02,N198,N199,151.991
312,TESTA02,N199,N200,119.146
313,TESTA02,N199,N201,202.352
314,TESTA02,N194,N202,561.1
315,TESTA02,N202,N203,275.078
316,TESTA02,N192,N204,418.123
317,TESTA02,N193,N205,857.26
318,TESTA02,N205,N206,232.018
319,TESTA02,N207,N208,437.542
320,TESTA02,N208,N209,167.655
321,TESTA02,N209,N210,196.888
322,TESTA02,N210,N211,180.813
323,TESTA02,N211,N212,281.673
324,TESTA02,N212,N190,152.749
325,TESTA02,N200,N215,130.36
326,TESTA02,N215,N38,42.1455
327,TESTA02,N62,N178,71.5642
328,TESTA02,N36,N216,211.112
329,TESTA02,N216,N217,100.885
330,TESTA02,N217,N218,1581.9
331,TESTA02,N219,N220,211.112
332,TESTA02,N220,N221,100.885
333,TESTA02,N221,N222,1581.9
334,TESTA02,N218,N1,72.528
335,TESTA02,N1,N222,75.9507
336,TESTA02,N223,N278,349.542
337,TESTA02,N278,N265,274.835
338,TESTA02,N265,N224,635.314
339,TESTA02,N225,N279,349.542
340,TESTA02,N279,N226,151.759
341,TESTA02,N226,N227,727.363
342,TESTA02,N224,N285,527.823
343,TESTA02,N285,N287,220.742
344,TESTA02,N287,N176,224.731
345,TESTA02,N176,N231,734.296
346,TESTA02,N231,N282,40.4682
347,TESTA02,N227,N229,769.23
348,TESTA02,N288,N234,937.562
349,TESTA02,N234,N235,30.636
350,TESTA02,N231,N123,137.877
351,TESTA02,N123,N174,147.518
352,TESTA02,N123,N234,112.142
353,TESTA02,N1,N223,63.6262
354,TESTA02,N223,N225,8
355,TESTA02,N236,N237,1292.21
356,TESTA02,N238,N239,729.291
357,TESTA02,N239,N240,570.923
358,TESTA02,N241,N242,184.835
359,TESTA02,N242,N243,354.319
360,TESTA02,N244,N245,299.028
361,TESTA02,N246,N247,538.816
362,TESTA02,N248,N249,299.908
363,TESTA02,N244,N243,77.2072
364,TESTA02,N248,N247,76.4262
365,TESTA02,N241,N237,79.4539
366,TESTA02,N240,N246,87.4539
367,TESTA02,N250,N245,262.325
368,TESTA02,N251,N249,262.325
369,TESTA02,N29,N250,30
370,TESTA02,N28,N251,30
371,TESTA02,N34,N215,446.378
372,TESTA02,N215,N20,507.954
373,TESTA02,N20,N252,25.7864
374,TESTA02,N252,N219,42.1455
375,TESTA02,N238,N195,17.7271
376,TESTA02,N236,N196,17.7271
377,TESTA02,N253,N69,397.122
378,TESTA02,N254,N255,377.122
379,TESTA02,N255,N69,8
380,TESTA02,N262,N261,391.688
381,TESTA02,N261,N260,229.258
382,TESTA02,N258,N259,79.4117
383,TESTA02,N257,N263,273.676
384,TESTA02,N263,N266,278.027
385,TESTA02,N209,N265,103.678
386,TESTA02,N266,N267,348.861
387,TESTA02,N274,N275,70
388,TESTA02,N275,N276,31.9727
389,TESTA02,N276,N273,206.463
390,TESTA02,N274,N272,143.563
391,TESTA02,N270,N276,24.4452
392,TESTA02,N158,N269,185.621
393,TESTA02,N151,N271,170.859
394,TESTA02,N278,N279,8
395,TESTA02,N283,N284,66.99
396,TESTA02,N285,N286,117.321
397,TESTA02,N229,N287,38.1438
398,TESTA02,N14,N229,437.742
399,TESTA02,N229,N288,11.3224
400,TESTA02,N289,N290,66.99
